"Region code","Region","Age","Sex","Population"
"01","Piemonte","58","Females","31116"
"01","Piemonte","59","Total","59429"
"01","Piemonte","59","Males","29045"
"01","Piemonte","59","Females","30384"
"01","Piemonte","60","Total","59185"
"01","Piemonte","60","Males","28889"
"01","Piemonte","60","Females","30296"
"01","Piemonte","61","Total","57927"
"01","Piemonte","61","Males","28122"
"01","Piemonte","61","Females","29805"
"01","Piemonte","62","Total","56811"
"01","Piemonte","62","Males","27618"
"01","Piemonte","62","Females","29193"
"01","Piemonte","63","Total","56009"
"01","Piemonte","63","Males","26961"
"01","Piemonte","63","Females","29048"
"01","Piemonte","64","Total","54051"
"01","Piemonte","64","Males","26158"
"01","Piemonte","64","Females","27893"
"01","Piemonte","65","Total","53937"
"01","Piemonte","65","Males","26142"
"01","Piemonte","65","Females","27795"
"01","Piemonte","66","Total","52986"
"01","Piemonte","66","Males","25297"
"01","Piemonte","66","Females","27689"
"01","Piemonte","67","Total","55262"
"01","Piemonte","67","Males","26274"
"01","Piemonte","67","Females","28988"
"01","Piemonte","68","Total","55580"
"01","Piemonte","68","Males","26533"
"01","Piemonte","68","Females","29047"
"01","Piemonte","69","Total","58424"
"01","Piemonte","69","Males","27761"
"01","Piemonte","69","Females","30663"
"01","Piemonte","70","Total","56996"
"01","Piemonte","70","Males","27100"
"01","Piemonte","70","Females","29896"
"01","Piemonte","71","Total","55411"
"01","Piemonte","71","Males","26188"
"01","Piemonte","71","Females","29223"
"01","Piemonte","72","Total","42190"
"01","Piemonte","72","Males","19812"
"01","Piemonte","72","Females","22378"
"01","Piemonte","73","Total","45018"
"01","Piemonte","73","Males","20935"
"01","Piemonte","73","Females","24083"
"01","Piemonte","74","Total","44495"
"01","Piemonte","74","Males","20269"
"01","Piemonte","74","Females","24226"
"01","Piemonte","75","Total","44743"
"01","Piemonte","75","Males","20389"
"01","Piemonte","75","Females","24354"
"01","Piemonte","76","Total","44767"
"01","Piemonte","76","Males","20067"
"01","Piemonte","76","Females","24700"
"01","Piemonte","77","Total","48591"
"01","Piemonte","77","Males","21742"
"01","Piemonte","77","Females","26849"
"01","Piemonte","78","Total","47653"
"01","Piemonte","78","Males","21017"
"01","Piemonte","78","Females","26636"
"01","Piemonte","79","Total","45677"
"01","Piemonte","79","Males","20026"
"01","Piemonte","79","Females","25651"
"01","Piemonte","80","Total","41056"
"01","Piemonte","80","Males","17684"
"01","Piemonte","80","Females","23372"
