"Region code","Region","Age","Sex","Population"
"04","Trentino-Alto Adige/Südtirol","25","Total","11950"
"04","Trentino-Alto Adige/Südtirol","25","Males","6156"
"04","Trentino-Alto Adige/Südtirol","25","Females","5794"
"05","Veneto","15","Total","45685"
"05","Veneto","15","Males","23625"
"05","Veneto","15","Females","22060"
"05","Veneto","16","Total","45397"
"05","Veneto","16","Males","23458"
"05","Veneto","16","Females","21939"
"05","Veneto","17","Total","47220"
"05","Veneto","17","Males","24382"
"05","Veneto","17","Females","22838"
"05","Veneto","18","Total","46375"
"05","Veneto","18","Males","23807"
"05","Veneto","18","Females","22568"
"05","Veneto","19","Total","46981"
"05","Veneto","19","Males","24530"
"05","Veneto","19","Females","22451"
"05","Veneto","20","Total","46973"
"05","Veneto","20","Males","24463"
"05","Veneto","20","Females","22510"
"05","Veneto","21","Total","46461"
"05","Veneto","21","Males","24277"
"05","Veneto","21","Females","22184"
"05","Veneto","22","Total","45644"
"05","Veneto","22","Males","23949"
"05","Veneto","22","Females","21695"
"05","Veneto","23","Total","45896"
"05","Veneto","23","Males","23753"
"05","Veneto","23","Females","22143"
"05","Veneto","24","Total","46400"
"05","Veneto","24","Males","23622"
"05","Veneto","24","Females","22778"
"05","Veneto","25","Total","48250"
"05","Veneto","25","Males","24759"
"05","Veneto","25","Females","23491"
"06","Friuli-Venezia Giulia","15","Total","10287"
"06","Friuli-Venezia Giulia","15","Males","5285"
"06","Friuli-Venezia Giulia","15","Females","5002"
"06","Friuli-Venezia Giulia","16","Total","10424"
"06","Friuli-Venezia Giulia","16","Males","5419"
"06","Friuli-Venezia Giulia","16","Females","5005"
"06","Friuli-Venezia Giulia","17","Total","10699"
"06","Friuli-Venezia Giulia","17","Males","5502"
"06","Friuli-Venezia Giulia","17","Females","5197"
"06","Friuli-Venezia Giulia","18","Total","10321"
"06","Friuli-Venezia Giulia","18","Males","5384"
"06","Friuli-Venezia Giulia","18","Females","4937"
"06","Friuli-Venezia Giulia","19","Total","10438"
"06","Friuli-Venezia Giulia","19","Males","5491"
"06","Friuli-Venezia Giulia","19","Females","4947"
"06","Friuli-Venezia Giulia","20","Total","10292"
"06","Friuli-Venezia Giulia","20","Males","5403"
"06","Friuli-Venezia Giulia","20","Females","4889"
"06","Friuli-Venezia Giulia","21","Total","10590"
"06","Friuli-Venezia Giulia","21","Males","5585"
"06","Friuli-Venezia Giulia","21","Females","5005"
"06","Friuli-Venezia Giulia","22","Total","10238"
"06","Friuli-Venezia Giulia","22","Males","5376"
"06","Friuli-Venezia Giulia","22","Females","4862"
"06","Friuli-Venezia Giulia","23","Total","10290"
"06","Friuli-Venezia Giulia","23","Males","5359"
"06","Friuli-Venezia Giulia","23","Females","4931"
"06","Friuli-Venezia Giulia","24","Total","10523"
"06","Friuli-Venezia Giulia","24","Males","5498"
"06","Friuli-Venezia Giulia","24","Females","5025"
"06","Friuli-Venezia Giulia","25","Total","11182"
"06","Friuli-Venezia Giulia","25","Males","5790"
"06","Friuli-Venezia Giulia","25","Females","5392"
"07","Liguria","15","Total","12595"
"07","Liguria","15","Males","6507"
"07","Liguria","15","Females","6088"
"07","Liguria","16","Total","12678"
"07","Liguria","16","Males","6478"
"07","Liguria","16","Females","6200"
"07","Liguria","17","Total","12937"
"07","Liguria","17","Males","6733"
"07","Liguria","17","Females","6204"
"07","Liguria","18","Total","12892"
"07","Liguria","18","Males","6866"
"07","Liguria","18","Females","6026"
"07","Liguria","19","Total","13181"
"07","Liguria","19","Males","7018"
"07","Liguria","19","Females","6163"
"07","Liguria","20","Total","13140"
"07","Liguria","20","Males","6935"
"07","Liguria","20","Females","6205"
"07","Liguria","21","Total","13392"
"07","Liguria","21","Males","7202"
"07","Liguria","21","Females","6190"
"07","Liguria","22","Total","13033"
"07","Liguria","22","Males","6845"
"07","Liguria","22","Females","6188"
"07","Liguria","23","Total","13079"
"07","Liguria","23","Males","6783"
"07","Liguria","23","Females","6296"
"07","Liguria","24","Total","13380"
"07","Liguria","24","Males","6957"
"07","Liguria","24","Females","6423"
"07","Liguria","25","Total","14135"
"07","Liguria","25","Males","7376"
"07","Liguria","25","Females","6759"
"08","Emilia-Romagna","15","Total","39284"
"08","Emilia-Romagna","15","Males","20311"
"08","Emilia-Romagna","15","Females","18973"
"08","Emilia-Romagna","16","Total","39091"
"08","Emilia-Romagna","16","Males","20204"
"08","Emilia-Romagna","16","Females","18887"
"08","Emilia-Romagna","17","Total","39732"
"08","Emilia-Romagna","17","Males","20820"
"08","Emilia-Romagna","17","Females","18912"
"08","Emilia-Romagna","18","Total","38833"
"08","Emilia-Romagna","18","Males","20299"
"08","Emilia-Romagna","18","Females","18534"
"08","Emilia-Romagna","19","Total","39179"
"08","Emilia-Romagna","19","Males","21103"
"08","Emilia-Romagna","19","Females","18076"
"08","Emilia-Romagna","20","Total","39198"
"08","Emilia-Romagna","20","Males","20710"
"08","Emilia-Romagna","20","Females","18488"
"08","Emilia-Romagna","21","Total","38899"
"08","Emilia-Romagna","21","Males","20343"
"08","Emilia-Romagna","21","Females","18556"
"08","Emilia-Romagna","22","Total","38513"
"08","Emilia-Romagna","22","Males","20261"
"08","Emilia-Romagna","22","Females","18252"
