,ITTER107,Region,Population,Time,Religious_observation,Live_births,Miscarriages,Abortions,Total_Pregnancies,Female Early Leavers
0,ITC1,Piemonte,4349911.0,2017.0,-0.3073859694415406,2.657262843680953,0.1507147978519483,0.8145427586173258,0.42132513798945004,-0.8736712902356121
1,ITC2,Valle d'Aosta / Vallée D'Aoste,126213.0,2017.0,-1.4736340326741768,2.3089430894308944,0.1463414634146341,0.7479674796747967,-0.4965484386733721,0.35404782137593954
2,ITC3,Liguria,1541541.0,2017.0,-1.6945999015048376,2.6097582264118007,0.1338337552006051,0.9659305810130632,0.6117926099334393,0.9481589614513466
3,ITC4,Lombardia,9986962.0,2017.0,0.1561825915569169,2.7331708475305474,0.1215599448820016,0.6861338458197788,0.2425621498098359,-0.7115322179955238
4,ITD3,Veneto,4880936.0,2017.0,0.41150797876910866,2.409824168784993,0.1163559112451704,0.4524501635874919,-0.9882964947978676,0.03285822343362461
5,ITD4,Friuli-Venezia Giulia,1211155.0,2017.0,-0.9367765366837892,2.431511813306276,0.1358892593129439,0.6214668792578635,-0.528038454535177,-0.9620130689580763
6,ITD5,Emilia-Romagna,4445920.0,2017.0,-1.2028397682381542,2.9121325949734733,0.1132711148975719,0.7958021918444798,0.8562927769356048,-0.546451759132026
7,ITDA,Trentino Alto Adige / Südtirol,1068738.0,2017.0,0.06637264825377372,2.891472110970011,0.0814040571782097,0.5307544528019277,0.16104843865267207,-0.46201282134180793
8,ITE1,Toscana,3712048.0,2017.0,-1.2815878396694413,2.566289981418939,0.1291325332180294,0.7654462376272335,0.06743300666233791,-0.5611134022434333
9,ITE2,Umbria,876477.0,2017.0,-0.9100645961305782,2.557643867467545,0.0993024607634179,0.6660530904863399,-0.23439424305404735,-0.5855055426868008
10,ITE3,Marche,1526331.0,2017.0,0.36939579857219906,2.472674667809687,0.1285897985426489,0.5130197171024432,-0.6913192445212267,-1.6505125899541113
11,ITE4,Lazio,5774606.0,2017.0,-0.14429063573550333,2.3724833978728253,0.1541938988277759,0.7671146466681853,-0.2983360329271599,-0.6203675724996786
12,ITF1,Abruzzo,1306059.0,2017.0,-0.18796245473266046,2.580311825669392,0.0926967145852961,0.5592195240555572,-0.43311333125790774,-0.8532631139719784
13,ITF2,Molise,306564.0,2017.0,0.9585210576394436,2.2908366533864544,0.1245019920318725,0.6349601593625498,-0.8313977548785435,-0.23227220025841577
14,ITF3,Campania,5762889.0,2017.0,1.135983384512981,3.3338063685089567,0.083508902158132,0.4737629220474418,1.0092590739434784,2.121735241516335
15,ITF4,Puglia,4000966.0,2017.0,1.6894622801074843,2.8004285843377383,0.180728335190819,0.771968174600784,0.7072484435544015,0.9130076319664773
16,ITF5,Basilicata,562968.0,2017.0,0.9123657914221619,1.927664238282509,0.1353877893108117,0.3997163303462059,-2.1176351967563662,0.24839132733650682
17,ITF6,Calabria,1924257.0,2017.0,1.5634620709074596,3.106329982130932,0.1389816435933072,0.4052127141129542,0.4826321152518393,-0.06586341710160451
18,ITG1,Sicilia,4942188.0,2017.0,1.1280637285248218,4.053409957511712,0.188269419326724,0.5294013509096851,2.935784270370022,2.044738051756438
19,ITG2,Sardegna,1631040.0,2017.0,-0.2521755954556857,2.258308748661985,0.1044304623658721,0.6670495783620082,-0.8762988317014316,1.461641737542416
