ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITD5,Emilia-Romagna,5296,28,1094,6418,2019
ITD5,Emilia-Romagna,5296,170,347,5813,2019
ITD5,Emilia-Romagna,5296,170,1094,6560,2019
ITD5,Emilia-Romagna,5296,467,347,6110,2019
ITD5,Emilia-Romagna,5296,467,1094,6857,2019
ITDA,Trentino Alto Adige / Südtirol,1642,5,89,1736,2019
ITDA,Trentino Alto Adige / Südtirol,1642,5,179,1826,2019
ITDA,Trentino Alto Adige / Südtirol,1642,58,89,1789,2019
ITDA,Trentino Alto Adige / Südtirol,1642,58,179,1879,2019
ITDA,Trentino Alto Adige / Südtirol,1642,136,89,1867,2019
ITDA,Trentino Alto Adige / Südtirol,1642,136,179,1957,2019
ITE1,Toscana,3762,27,327,4116,2019
ITE1,Toscana,3762,27,870,4659,2019
ITE1,Toscana,3762,169,327,4258,2019
ITE1,Toscana,3762,169,870,4801,2019
ITE1,Toscana,3762,428,327,4517,2019
ITE1,Toscana,3762,428,870,5060,2019
ITE2,Umbria,908,3,61,972,2019
ITE2,Umbria,908,3,144,1055,2019
ITE2,Umbria,908,33,61,1002,2019
ITE2,Umbria,908,33,144,1085,2019
ITE2,Umbria,908,73,61,1042,2019
ITE2,Umbria,908,73,144,1125,2019
ITE3,Marche,1504,9,91,1604,2019
ITE3,Marche,1504,9,235,1748,2019
ITE3,Marche,1504,59,91,1654,2019
ITE3,Marche,1504,59,235,1798,2019
ITE3,Marche,1504,135,91,1730,2019
ITE3,Marche,1504,135,235,1874,2019
ITE4,Lazio,5870,37,511,6418,2019
ITE4,Lazio,5870,37,1227,7134,2019
ITE4,Lazio,5870,227,511,6608,2019
ITE4,Lazio,5870,227,1227,7324,2019
ITE4,Lazio,5870,578,511,6959,2019
ITE4,Lazio,5870,578,1227,7675,2019
ITF1,Abruzzo,1388,11,92,1491,2019
ITF1,Abruzzo,1388,11,243,1642,2019
ITF1,Abruzzo,1388,63,92,1543,2019
ITF1,Abruzzo,1388,63,243,1694,2019
ITF1,Abruzzo,1388,138,92,1618,2019
ITF1,Abruzzo,1388,138,243,1769,2019
ITF2,Molise,326,4,19,349,2019
ITF2,Molise,326,4,65,395,2019
ITF2,Molise,326,13,19,358,2019
ITF2,Molise,326,13,65,404,2019
ITF2,Molise,326,30,19,375,2019
ITF2,Molise,326,30,65,421,2019
ITF3,Campania,10200,78,393,10671,2019
ITF3,Campania,10200,78,1000,11278,2019
ITF3,Campania,10200,299,393,10892,2019
ITF3,Campania,10200,299,1000,11499,2019
ITF3,Campania,10200,804,393,11397,2019
ITF3,Campania,10200,804,1000,12004,2019
ITF4,Puglia,5782,68,501,6351,2019
ITF4,Puglia,5782,68,1018,6868,2019
ITF4,Puglia,5782,285,501,6568,2019
ITF4,Puglia,5782,285,1018,7085,2019
ITF4,Puglia,5782,568,501,6851,2019
ITF4,Puglia,5782,568,1018,7368,2019
ITF5,Basilicata,536,4,15,555,2019
ITF5,Basilicata,536,4,87,627,2019
ITF5,Basilicata,536,23,15,574,2019
ITF5,Basilicata,536,23,87,646,2019
ITF5,Basilicata,536,62,15,613,2019
ITF5,Basilicata,536,62,87,685,2019
ITF6,Calabria,2746,30,96,2872,2019
ITF6,Calabria,2746,30,256,3032,2019
ITF6,Calabria,2746,103,96,2945,2019
ITF6,Calabria,2746,103,256,3105,2019
ITF6,Calabria,2746,246,96,3088,2019
ITF6,Calabria,2746,246,256,3248,2019
ITG1,Sicilia,10180,115,449,10744,2019
ITG1,Sicilia,10180,115,861,11156,2019
ITG1,Sicilia,10180,339,449,10968,2019
ITG1,Sicilia,10180,339,861,11380,2019
ITG1,Sicilia,10180,799,449,11428,2019
ITG1,Sicilia,10180,799,861,11840,2019
ITG2,Sardegna,1404,20,129,1553,2019
ITG2,Sardegna,1404,20,245,1669,2019
ITG2,Sardegna,1404,66,129,1599,2019
ITG2,Sardegna,1404,66,245,1715,2019
ITG2,Sardegna,1404,176,129,1709,2019
ITG2,Sardegna,1404,176,245,1825,2019
