ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITC1,Piemonte,4758,26,423,5207,2019
ITC1,Piemonte,4758,26,1080,5864,2019
ITC1,Piemonte,4758,146,423,5327,2019
ITC1,Piemonte,4758,146,1080,5984,2019
ITC1,Piemonte,4758,392,423,5573,2019
ITC1,Piemonte,4758,392,1080,6230,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,0,10,146,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,0,17,153,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,4,10,150,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,4,17,157,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,7,10,153,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,136,7,17,160,2019
ITC3,Liguria,1600,15,180,1795,2019
ITC3,Liguria,1600,15,417,2032,2019
ITC3,Liguria,1600,59,180,1839,2019
ITC3,Liguria,1600,59,417,2076,2019
ITC3,Liguria,1600,166,180,1946,2019
ITC3,Liguria,1600,166,417,2183,2019
ITC4,Lombardia,12100,62,873,13035,2019
ITC4,Lombardia,12100,62,2186,14348,2019
ITC4,Lombardia,12100,336,873,13309,2019
ITC4,Lombardia,12100,336,2186,14622,2019
ITC4,Lombardia,12100,951,873,13924,2019
ITC4,Lombardia,12100,951,2186,15237,2019
ITD3,Veneto,5300,33,283,5616,2019
ITD3,Veneto,5300,33,727,6060,2019
ITD3,Veneto,5300,209,283,5792,2019
ITD3,Veneto,5300,209,727,6236,2019
ITD3,Veneto,5300,597,283,6180,2019
ITD3,Veneto,5300,597,727,6624,2019
ITD4,Friuli-Venezia Giulia,1224,10,114,1348,2019
ITD4,Friuli-Venezia Giulia,1224,10,239,1473,2019
ITD4,Friuli-Venezia Giulia,1224,59,114,1397,2019
ITD4,Friuli-Venezia Giulia,1224,59,239,1522,2019
ITD4,Friuli-Venezia Giulia,1224,181,114,1519,2019
ITD4,Friuli-Venezia Giulia,1224,181,239,1644,2019
ITD5,Emilia-Romagna,5296,28,347,5671,2019
