ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITC1,Piemonte,1.15723062404841,0.13717487851267407,0.3655564581640942,1.6599619607251783,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,1.0932475884244373,0.08842443729903537,0.2170418006430868,1.3987138263665595,2019
ITC3,Liguria,1.1641274137454345,0.17461911206181516,0.43436504125376524,1.773111567061015,2019
ITC4,Lombardia,1.2031325195782474,0.1341343610670294,0.3041638328421371,1.6414307134874138,2019
ITD3,Veneto,1.063842599469283,0.1684082907461752,0.20273226895546714,1.4349831591709254,2019
ITD4,Friuli-Venezia Giulia,1.0954784663301471,0.22374968675043855,0.3159345576916192,1.6351627107722049,2019
ITD5,Emilia-Romagna,1.2529513913533106,0.15732867735082165,0.34091823167298346,1.7511983003771157,2019
ITDA,Trentino Alto Adige / Südtirol,1.330459583846503,0.16124327477798664,0.21715174693718806,1.7088546055616776,2019
ITE1,Toscana,1.0886172650878534,0.18056809500659768,0.34637822070977153,1.6155635808042226,2019
ITE2,Umbria,1.1062378167641325,0.1327972709551657,0.24975633528265107,1.4887914230019492,2019
ITE3,Marche,1.0167933151248005,0.13724005516644583,0.22039535952838096,1.3744287298196274,2019
ITE4,Lazio,1.0336872875834258,0.14827337242678781,0.3060559635127758,1.4880166235229895,2019
ITF1,Abruzzo,1.0887128402227626,0.16628755196485998,0.2627657071142835,1.517766099301906,2019
ITF2,Molise,1.0754816574294008,0.15505410398522038,0.2771179730799683,1.5076537344945895,2019
ITF3,Campania,1.4368868578383587,0.16636895873599036,0.19623366597733663,1.7994894825516856,2019
ITF4,Puglia,1.2852887565020228,0.2047303605566176,0.3376606055217179,1.8276797225803583,2019
ITF5,Basilicata,0.9023265209925592,0.14982660516480928,0.17171139018888254,1.223864516346251,2019
ITF6,Calabria,1.3066981365513828,0.18034908730989588,0.16750099929573445,1.6545482231570132,2019
ITG1,Sicilia,1.8098099521769275,0.222759515724724,0.23289302920940816,2.2654624971110597,2019
ITG2,Sardegna,0.9510777526384956,0.1774803213613147,0.2533497717142431,1.3819078457140535,2019
