,ITTER107,Region,Population,Time,TIPO_DATO_AVQ,Value,Percentage
0,ITC1,Piemonte,8622434,2019,6_NEVER_RELIG,1267,14.69422671139031
1,ITC1,Piemonte,8622434,2019,6_WEEK_RELIG,870,10.089958357466116
2,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,2019,6_NEVER_RELIG,32,12.796519346737687
3,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,2019,6_WEEK_RELIG,25,9.997280739638818
4,ITC3,Liguria,3049652,2019,6_WEEK_RELIG,241,7.902541011236692
5,ITC3,Liguria,3049652,2019,6_NEVER_RELIG,590,19.346469695558707
6,ITC4,Lombardia,20055204,2019,6_WEEK_RELIG,2594,12.93429874859413
7,ITC4,Lombardia,20055204,2019,6_NEVER_RELIG,2810,14.01132593814553
8,ITD3,Veneto,9758266,2019,6_WEEK_RELIG,1129,11.569678465415885
9,ITD3,Veneto,9758266,2019,6_NEVER_RELIG,1182,12.11280774678616
10,ITD4,Friuli-Venezia Giulia,2412432,2019,6_NEVER_RELIG,393,16.29061461628763
11,ITD4,Friuli-Venezia Giulia,2412432,2019,6_WEEK_RELIG,219,9.077976083885472
12,ITD5,Emilia-Romagna,8928238,2019,6_NEVER_RELIG,1668,18.682297671724253
13,ITD5,Emilia-Romagna,8928238,2019,6_WEEK_RELIG,797,8.926733359930592
14,ITDA,Trentino Alto Adige / Südtirol,2156138,2019,6_WEEK_RELIG,220,10.203428537505484
15,ITDA,Trentino Alto Adige / Südtirol,2156138,2019,6_NEVER_RELIG,248,11.502046715006182
16,ITE1,Toscana,7385110,2019,6_WEEK_RELIG,602,8.151537350154568
17,ITE1,Toscana,7385110,2019,6_NEVER_RELIG,1368,18.52375929403895
18,ITE2,Umbria,1740330,2019,6_WEEK_RELIG,168,9.65334160762614
19,ITE2,Umbria,1740330,2019,6_NEVER_RELIG,223,12.81366177678946
20,ITE3,Marche,3025344,2019,6_NEVER_RELIG,344,11.37060777220706
21,ITE3,Marche,3025344,2019,6_WEEK_RELIG,407,13.453015590954285
22,ITE4,Lazio,11511400,2019,6_WEEK_RELIG,1152,10.007470854978543
23,ITE4,Lazio,11511400,2019,6_NEVER_RELIG,1640,14.246746703268064
24,ITF1,Abruzzo,2587882,2019,6_WEEK_RELIG,287,11.09015016913445
25,ITF1,Abruzzo,2587882,2019,6_NEVER_RELIG,282,10.896941978034548
26,ITF2,Molise,601032,2019,6_WEEK_RELIG,83,13.809580854263999
27,ITF2,Molise,601032,2019,6_NEVER_RELIG,60,9.98282953320289
28,ITF3,Campania,11424286,2019,6_WEEK_RELIG,1802,15.773414636153191
29,ITF3,Campania,11424286,2019,6_NEVER_RELIG,935,8.184318914985147
30,ITF4,Puglia,7906610,2019,6_NEVER_RELIG,684,8.650989488541866
31,ITF4,Puglia,7906610,2019,6_WEEK_RELIG,1180,14.924221632279826
32,ITF5,Basilicata,1106508,2019,6_WEEK_RELIG,146,13.19466284925188
33,ITF5,Basilicata,1106508,2019,6_NEVER_RELIG,102,9.218189113860904
34,ITF6,Calabria,3788220,2019,6_NEVER_RELIG,305,8.051274741171316
35,ITF6,Calabria,3788220,2019,6_WEEK_RELIG,588,15.521801796094207
36,ITG1,Sicilia,9750580,2019,6_NEVER_RELIG,814,8.3482213365769
37,ITG1,Sicilia,9750580,2019,6_WEEK_RELIG,1498,15.363188651341765
38,ITG2,Sardegna,3223242,2019,6_WEEK_RELIG,346,10.734533739632333
39,ITG2,Sardegna,3223242,2019,6_NEVER_RELIG,483,14.98491270590294
