ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITC1,Piemonte,2.657262843680953,0.15071479785194833,0.8145427586173258,3.622520400150227,2017
ITC2,Valle d'Aosta / Vallée d'Aoste,2.3089430894308944,0.14634146341463414,0.7479674796747967,3.203252032520325,2017
ITC3,Liguria,2.6097582264118007,0.13383375520060517,0.9659305810130633,3.709522562625469,2017
ITC4,Lombardia,2.7331708475305474,0.12155994488200161,0.6861338458197788,3.5408646382323274,2017
ITD3,Veneto,2.409824168784993,0.11635591124517042,0.45245016358749196,2.9786302436176553,2017
ITD4,Friuli-Venezia Giulia,2.431511813306276,0.1358892593129439,0.6214668792578635,3.1888679518770835,2017
ITD5,Emilia-Romagna,2.9121325949734733,0.11327111489757193,0.7958021918444798,3.821205901715525,2017
ITDA,Trentino Alto Adige / Südtirol,2.891472110970011,0.08140405717820977,0.5307544528019277,3.503630620950148,2017
ITE1,Toscana,2.566289981418939,0.12913253321802948,0.7654462376272335,3.4608687522642017,2017
ITE2,Umbria,2.557643867467545,0.09930246076341795,0.6660530904863399,3.322999418717303,2017
ITE3,Marche,2.472674667809687,0.12858979854264896,0.5130197171024432,3.1142841834547794,2017
ITE4,Lazio,2.3724833978728253,0.15419389882777593,0.7671146466681853,3.2937919433687863,2017
ITF1,Abruzzo,2.580311825669392,0.09269671458529617,0.5592195240555572,3.2322280643102452,2017
ITF2,Molise,2.2908366533864544,0.12450199203187251,0.6349601593625498,3.0502988047808763,2017
ITF3,Campania,3.3338063685089567,0.08350890215813202,0.4737629220474418,3.8910781927145304,2017
ITF4,Puglia,2.8004285843377383,0.180728335190819,0.771968174600784,3.753125094129341,2017
ITF5,Basilicata,1.927664238282509,0.1353877893108117,0.3997163303462059,2.462768357939527,2017
ITF6,Calabria,3.1063299821309314,0.13898164359330722,0.4052127141129542,3.650524339837193,2017
ITG1,Sicilia,4.053409957511712,0.18826941932672406,0.5294013509096851,4.771080727748121,2017
ITG2,Sardegna,2.258308748661985,0.10443046236587213,0.6670495783620082,3.029788789389865,2017
