"Age","Total males","Total females","Total"
"0","7599","7190","14789"
"1","7899","7516","15415"
"2","8086","7614","15700"
"3","8190","7756","15946"
"4","8305","7752","16057"
"5","8235","7916","16151"
"6","8577","7968","16545"
"7","8661","8117","16778"
"8","8822","8487","17309"
"9","9105","8465","17570"
"10","8952","8758","17710"
"11","9181","8601","17782"
"12","9484","8807","18291"
"13","9340","8764","18104"
"14","9650","8995","18645"
"15","9679","9064","18743"
"16","9651","8921","18572"
"17","9941","9400","19341"
"18","10621","9598","20219"
"19","10782","9538","20320"
"20","10838","9846","20684"
"21","10636","9690","20326"
"22","11016","9921","20937"
"23","11012","10295","21307"
"24","11427","10437","21864"
"25","11766","11015","22781"
"26","11988","11516","23504"
"27","11950","11316","23266"
"28","12346","11544","23890"
"29","12453","11694","24147"
"30","12624","12000","24624"
"31","12251","11903","24154"
"32","12128","11648","23776"
"33","12088","11675","23763"
"34","12437","11632","24069"
"35","12190","11734","23924"
"36","12263","12097","24360"
"37","12257","12002","24259"
"38","12433","12131","24564"
"39","12514","12486","25000"
"40","12779","12553","25332"
"41","12782","13144","25926"
"42","13516","13655","27171"
"43","13457","13588","27045"
"44","13462","13898","27360"
"45","13460","13814","27274"
"46","13371","14115","27486"
"47","13520","14381","27901"
"48","13415","14230","27645"
"49","13957","15164","29121"
"50","13942","14815","28757"
"51","14058","15012","29070"
"52","13998","15126","29124"
"53","13976","14941","28917"
"54","14590","15584","30174"
"55","13794","14705","28499"
"56","13657","14729","28386"
"57","13557","14527","28084"
"58","13406","14312","27718"
"59","13099","13930","27029"
"60","12201","12940","25141"
"61","12700","13138","25838"
"62","12162","12845","25007"
"63","12098","12754","24852"
"64","12045","12561","24606"
"65","11379","11827","23206"
"66","10711","11234","21945"
"67","10835","11527","22362"
"68","11025","11691","22716"
"69","11013","11659","22672"
"70","10939","11862","22801"
"71","10619","11439","22058"
"72","9595","10506","20101"
"73","7401","8143","15544"
"74","7425","8027","15452"
"75","7059","8128","15187"
"76","6919","7986","14905"
"77","6546","7650","14196"
"78","7297","8772","16069"
"79","6935","8483","15418"
"80","6196","8120","14316"
"81","5809","7552","13361"
"82","5293","7415","12708"
"83","5095","7200","12295"
"84","4634","6733","11367"
"85","4346","6501","10847"
"86","3602","5903","9505"
"87","3091","5272","8363"
"88","2760","4788","7548"
"89","2178","3975","6153"
"90","1757","3330","5087"
"91","1340","2817","4157"
"92","1092","2368","3460"
"93","803","1888","2691"
"94","613","1510","2123"
"95","444","1140","1584"
"96","304","776","1080"
"97","193","596","789"
"98","156","439","595"
"99","49","210","259"
"100 and over","101","351","452"
"Total","937933","974088","1912021"
