"Age","Total males","Total females","Total"
"0","4471","4259","8730"
"1","4864","4562","9426"
"2","5103","4803","9906"
"3","5203","4874","10077"
"4","5274","4987","10261"
"5","5383","5055","10438"
"6","5603","5346","10949"
"7","5796","5307","11103"
"8","5898","5614","11512"
"9","5797","5480","11277"
"10","6010","5679","11689"
"11","5845","5615","11460"
"12","5873","5482","11355"
"13","5871","5628","11499"
"14","6008","5533","11541"
"15","5949","5523","11472"
"16","5895","5441","11336"
"17","6029","5689","11718"
"18","6361","5626","11987"
"19","6340","5725","12065"
"20","6489","5910","12399"
"21","6556","5818","12374"
"22","6519","6084","12603"
"23","6620","5963","12583"
"24","6758","6324","13082"
"25","7056","6489","13545"
"26","7271","6804","14075"
"27","7193","6796","13989"
"28","7319","6953","14272"
"29","7432","6896","14328"
"30","7435","7137","14572"
"31","7188","7063","14251"
"32","7457","7191","14648"
"33","7627","7432","15059"
"34","7799","7493","15292"
"35","7772","7508","15280"
"36","8005","7992","15997"
"37","8007","7886","15893"
"38","8330","7976","16306"
"39","8609","8331","16940"
"40","8975","8643","17618"
"41","9000","8728","17728"
"42","9363","9208","18571"
"43","9380","9637","19017"
"44","10009","9840","19849"
"45","9681","9974","19655"
"46","9972","10218","20190"
"47","10071","10530","20601"
"48","9942","10260","20202"
"49","10440","10622","21062"
"50","10326","10558","20884"
"51","10319","10771","21090"
"52","10464","10790","21254"
"53","10478","10812","21290"
"54","10658","10767","21425"
"55","9887","10289","20176"
"56","9468","9917","19385"
"57","9141","9941","19082"
"58","9067","9734","18801"
"59","8907","9590","18497"
"60","8583","9198","17781"
"61","8465","9067","17532"
"62","8467","8797","17264"
"63","8265","8965","17230"
"64","8099","8765","16864"
"65","7579","8211","15790"
"66","7540","8148","15688"
"67","7399","8286","15685"
"68","7768","8379","16147"
"69","7822","8572","16394"
"70","7825","8735","16560"
"71","7454","8116","15570"
"72","7216","7819","15035"
"73","5223","6002","11225"
"74","5684","6341","12025"
"75","5291","6206","11497"
"76","5076","5983","11059"
"77","5050","5974","11024"
"78","5571","6881","12452"
"79","5445","6870","12315"
"80","4883","6163","11046"
"81","4626","6014","10640"
"82","4107","5615","9722"
"83","3902","5569","9471"
"84","3465","5200","8665"
"85","3227","5083","8310"
"86","2737","4361","7098"
"87","2420","4199","6619"
"88","2234","4082","6316"
"89","1699","3285","4984"
"90","1363","2865","4228"
"91","1118","2564","3682"
"92","804","2032","2836"
"93","636","1622","2258"
"94","481","1292","1773"
"95","338","997","1335"
"96","223","777","1000"
"97","197","557","754"
"98","107","383","490"
"99","44","186","230"
"100 and over","65","320","385"
"Total","635061","665584","1300645"
