"Age","Total males","Total females","Total"
"0","4531","4277","8808"
"1","4959","4633","9592"
"2","5144","4737","9881"
"3","5184","4958","10142"
"4","5605","5202","10807"
"5","5681","5263","10944"
"6","5920","5631","11551"
"7","5841","5535","11376"
"8","6049","5820","11869"
"9","6246","6184","12430"
"10","6446","6224","12670"
"11","6514","5903","12417"
"12","6417","6169","12586"
"13","6495","6019","12514"
"14","6437","6150","12587"
"15","6413","5948","12361"
"16","6540","6116","12656"
"17","6532","6242","12774"
"18","6845","6239","13084"
"19","6970","6063","13033"
"20","7119","6184","13303"
"21","7007","6259","13266"
"22","7278","6239","13517"
"23","6921","6269","13190"
"24","6877","6372","13249"
"25","7036","6543","13579"
"26","7445","6794","14239"
"27","7157","6887","14044"
"28","7208","6928","14136"
"29","7164","6954","14118"
"30","7362","7137","14499"
"31","7331","6833","14164"
"32","7188","6841","14029"
"33","7428","7175","14603"
"34","7433","7182","14615"
"35","7632","7297","14929"
"36","7640","7302","14942"
"37","7820","7796","15616"
"38","7727","7697","15424"
"39","7946","8269","16215"
"40","8525","8984","17509"
"41","9139","9424","18563"
"42","9793","9943","19736"
"43","10443","10660","21103"
"44","11056","11508","22564"
"45","11404","11562","22966"
"46","12014","12208","24222"
"47","12105","12301","24406"
"48","12032","12591","24623"
"49","12376","12801","25177"
"50","12608","12866","25474"
"51","12244","13042","25286"
"52","12929","13433","26362"
"53","13155","13664","26819"
"54","13373","13700","27073"
"55","12353","13090","25443"
"56","11863","12626","24489"
"57","11479","12232","23711"
"58","11109","11778","22887"
"59","10987","11707","22694"
"60","10410","11280","21690"
"61","10414","11020","21434"
"62","10068","10795","20863"
"63","9625","10544","20169"
"64","9640","10471","20111"
"65","9228","10236","19464"
"66","8930","9877","18807"
"67","8776","10003","18779"
"68","9474","10514","19988"
"69","9334","10875","20209"
"70","9937","11349","21286"
"71","10034","11765","21799"
"72","9947","11907","21854"
"73","7183","8562","15745"
"74","7981","9696","17677"
"75","7672","9414","17086"
"76","7632","9827","17459"
"77","7781","10014","17795"
"78","8209","10719","18928"
"79","7824","10494","18318"
"80","7402","10224","17626"
"81","6569","9346","15915"
"82","5760","8561","14321"
"83","5413","8271","13684"
"84","4860","7630","12490"
"85","4411","7225","11636"
"86","3873","6987","10860"
"87","3450","6472","9922"
"88","3121","6209","9330"
"89","2480","5277","7757"
"90","2018","4496","6514"
"91","1609","3788","5397"
"92","1163","3189","4352"
"93","905","2607","3512"
"94","659","2062","2721"
"95","457","1647","2104"
"96","335","1266","1601"
"97","220","893","1113"
"98","137","664","801"
"99","49","300","349"
"100 and over","78","570","648"
"Total","733543","799437","1532980"
