,Region code,Region,Population,TIPO_DATO_AVQ,Religious observation,Live_births,Miscarriages,Abortions,Total,Time,Age range_GENERAL,Gender,Females,Early leavers absolute value,Female Early Leavers
0,ITC1,Piemonte,4349911,6_WEEK_RELIG,23.1498989289666,2.657262843680953,0.1507147978519483,0.8145427586173258,3.622520400150227,2017,18-24,Females,2238438,7.6,3.9109142233025
1,ITC2,Valle d'Aosta / Vallée d'Aoste,126213,6_WEEK_RELIG,17.430851021685562,2.3089430894308944,0.1463414634146341,0.7479674796747967,3.203252032520325,2017,18-24,Females,64461,11.8,6.026635924983956
2,ITC3,Liguria,1541541,6_WEEK_RELIG,16.347278470050423,2.6097582264118007,0.1338337552006051,0.9659305810130632,3.709522562625469,2017,18-24,Females,805080,13.5,7.050464437857961
3,ITC4,Lombardia,9986962,6_WEEK_RELIG,25.42314669866572,2.7331708475305474,0.1215599448820016,0.6861338458197788,3.5408646382323274,2017,18-24,Females,5103493,8.2,4.190327609136792
4,ITD3,Veneto,4880936,6_WEEK_RELIG,26.675211475831684,2.409824168784993,0.1163559112451704,0.4524501635874919,2.978630243617656,2017,18-24,Females,2496636,10.7,5.473131628851515
5,ITD4,Friuli-Venezia Giulia,1211155,6_WEEK_RELIG,20.063493111946865,2.431511813306276,0.1358892593129439,0.6214668792578635,3.1888679518770835,2017,18-24,Females,623608,7.3,3.7586753140597193
6,ITD5,Emilia-Romagna,4445920,6_WEEK_RELIG,18.75877208766689,2.9121325949734733,0.1132711148975719,0.7958021918444798,3.821205901715525,2017,18-24,Females,2286741,8.7,4.474809870622953
7,ITDA,Trentino Alto Adige / Südtirol,1068738,6_WEEK_RELIG,24.98273664827114,2.891472110970011,0.0814040571782097,0.5307544528019277,3.503630620950148,2017,18-24,Females,542628,9.1,4.620323035206009
8,ITE1,Toscana,3712048,6_WEEK_RELIG,18.372607250768308,2.566289981418939,0.1291325332180294,0.7654462376272335,3.4608687522642017,2017,18-24,Females,1920572,8.6,4.449543540385253
9,ITE2,Umbria,876477,6_WEEK_RELIG,20.19448314102937,2.557643867467545,0.0993024607634179,0.6660530904863399,3.322999418717303,2017,18-24,Females,454480,8.5,4.40750869674846
10,ITE3,Marche,1526331,6_WEEK_RELIG,26.468701742937803,2.472674667809687,0.1285897985426489,0.5130197171024432,3.1142841834547794,2017,18-24,Females,785202,5.0,2.572187815093842
