,ITTER107,Region,Population,Time,Religious_observation,Live_births,Miscarriages,Abortions,Total_Pregnancies,Female Early Leavers
0,ITC1,Piemonte,4349911.0,2017,23.1498989289666,2.657262843680953,0.1507147978519483,0.8145427586173258,3.622520400150227,3.9109142233025
1,ITC2,Valle d'Aosta / Vallée D'Aoste,126213.0,2017,17.430851021685562,2.3089430894308944,0.1463414634146341,0.7479674796747967,3.203252032520325,6.026635924983956
2,ITC3,Liguria,1541541.0,2017,16.347278470050423,2.6097582264118007,0.1338337552006051,0.9659305810130632,3.709522562625469,7.050464437857961
3,ITC4,Lombardia,9986962.0,2017,25.42314669866572,2.7331708475305474,0.1215599448820016,0.6861338458197788,3.5408646382323274,4.190327609136792
4,ITD3,Veneto,4880936.0,2017,26.675211475831684,2.409824168784993,0.1163559112451704,0.4524501635874919,2.9786302436176557,5.473131628851515
5,ITD4,Friuli-Venezia Giulia,1211155.0,2017,20.063493111946865,2.431511813306276,0.1358892593129439,0.6214668792578635,3.1888679518770835,3.7586753140597193
6,ITD5,Emilia-Romagna,4445920.0,2017,18.75877208766689,2.9121325949734733,0.1132711148975719,0.7958021918444798,3.821205901715525,4.474809870622953
7,ITDA,Trentino Alto Adige / Südtirol,1068738.0,2017,24.98273664827114,2.891472110970011,0.0814040571782097,0.5307544528019277,3.503630620950148,4.620323035206009
8,ITE1,Toscana,3712048.0,2017,18.372607250768308,2.566289981418939,0.1291325332180294,0.7654462376272335,3.4608687522642017,4.449543540385253
9,ITE2,Umbria,876477.0,2017,20.19448314102937,2.557643867467545,0.0993024607634179,0.6660530904863399,3.322999418717303,4.40750869674846
10,ITE3,Marche,1526331.0,2017,26.468701742937803,2.472674667809687,0.1285897985426489,0.5130197171024432,3.1142841834547794,2.572187815093842
11,ITE4,Lazio,5774606.0,2017,23.94968591796566,2.3724833978728253,0.1541938988277759,0.7671146466681853,3.2937919433687863,4.347431149415216
12,ITF1,Abruzzo,1306059.0,2017,23.73552802744745,2.580311825669392,0.0926967145852961,0.5592195240555572,3.232228064310245,3.946083523026142
13,ITF2,Molise,306564.0,2017,29.35765451912162,2.2908366533864544,0.1245019920318725,0.6349601593625498,3.0502988047808763,5.01623380436059
14,ITF3,Campania,5762889.0,2017,30.22789437728195,3.3338063685089567,0.083508902158132,0.4737629220474418,3.8910781927145295,9.07288209090961
15,ITF4,Puglia,4000966.0,2017,32.942044496254155,2.8004285843377383,0.180728335190819,0.771968174600784,3.753125094129341,6.989888341965415
16,ITF5,Basilicata,562968.0,2017,29.13131829873101,1.927664238282509,0.1353877893108117,0.3997163303462059,2.462768357939527,5.844558660527774
17,ITF6,Calabria,1924257.0,2017,32.32416459963508,3.106329982130932,0.1389816435933072,0.4052127141129542,3.650524339837193,5.303005159913671
18,ITG1,Sicilia,4942188.0,2017,30.18905796380065,4.053409957511712,0.188269419326724,0.5294013509096851,4.771080727748121,8.940193250438874
19,ITG2,Sardegna,1631040.0,2017,23.420639591916814,2.258308748661985,0.1044304623658721,0.6670495783620082,3.029788789389865,7.93534652736904
