"Age","Total males","Total females","Total"
"0","14418","14075","28493"
"1","15605","15112","30717"
"2","16367","15649","32016"
"3","17114","15722","32836"
"4","17482","16707","34189"
"5","18074","17037","35111"
"6","18785","17680","36465"
"7","19128","17655","36783"
"8","19356","18246","37602"
"9","19883","18815","38698"
"10","20153","18847","39000"
"11","20038","18897","38935"
"12","19732","18601","38333"
"13","19634","18459","38093"
"14","19725","18339","38064"
"15","19722","18470","38192"
"16","19208","18438","37646"
"17","19424","18293","37717"
"18","20405","18838","39243"
"19","20536","18327","38863"
"20","21246","18598","39844"
"21","20799","18866","39665"
"22","20696","18404","39100"
"23","20519","18588","39107"
"24","20496","18995","39491"
"25","20712","19283","39995"
"26","21390","19940","41330"
"27","21547","20280","41827"
"28","22277","20760","43037"
"29","21853","20654","42507"
"30","22479","21368","43847"
"31","21657","21237","42894"
"32","22290","21458","43748"
"33","22740","22277","45017"
"34","22695","22575","45270"
"35","23538","23229","46767"
"36","24514","24205","48719"
"37","24426","24440","48866"
"38","25133","25149","50282"
"39","25925","25624","51549"
"40","27636","27595","55231"
"41","28872","29261","58133"
"42","30287","30643","60930"
"43","31999","32461","64460"
"44","33664","33687","67351"
"45","33836","33480","67316"
"46","34542","34497","69039"
"47","34753","35332","70085"
"48","34490","34913","69403"
"49","35727","36160","71887"
"50","35436","35947","71383"
"51","35330","36037","71367"
"52","35748","36108","71856"
"53","35383","36152","71535"
"54","35694","36864","72558"
"55","33306","34407","67713"
"56","31805","33382","65187"
"57","31493","33054","64547"
"58","30382","32003","62385"
"59","29899","30979","60878"
"60","28902","30262","59164"
"61","28693","30191","58884"
"62","27905","29654","57559"
"63","27349","29032","56381"
"64","26701","28857","55558"
"65","25869","27693","53562"
"66","25866","27619","53485"
"67","24959","27499","52458"
"68","25864","28731","54595"
"69","26169","28799","54968"
"70","27284","30342","57626"
"71","26635","29577","56212"
"72","25646","28865","54511"
"73","19364","22079","41443"
"74","20378","23728","44106"
"75","19668","23817","43485"
"76","19756","23920","43676"
"77","19364","24227","43591"
"78","20848","26269","47117"
"79","20141","25895","46036"
"80","19096","24864","43960"
"81","16733","22551","39284"
"82","14763","20358","35121"
"83","13898","20227","34125"
"84","12156","18726","30882"
"85","10426","17234","27660"
"86","9285","16208","25493"
"87","8166","15038","23204"
"88","7384","14222","21606"
"89","5686","11884","17570"
"90","4371","10022","14393"
"91","3490","8607","12097"
"92","2488","7026","9514"
"93","1839","5566","7405"
"94","1326","4288","5614"
"95","990","3349","4339"
"96","646","2617","3263"
"97","426","1858","2284"
"98","265","1206","1471"
"99","88","568","656"
"100 and over","138","967","1105"
"Total","2103024","2225541","4328565"
