"Age","Total males","Total females","Total"
"0","20494","19313","39807"
"1","22821","21384","44205"
"2","23968","22644","46612"
"3","24348","23473","47821"
"4","25626","23920","49546"
"5","26008","24550","50558"
"6","27368","26041","53409"
"7","27467","25937","53404"
"8","28122","26532","54654"
"9","28365","26478","54843"
"10","28196","27070","55266"
"11","28707","26794","55501"
"12","28258","26749","55007"
"13","27439","25828","53267"
"14","27658","25971","53629"
"15","27242","25862","53104"
"16","26916","25214","52130"
"17","27055","25381","52436"
"18","27767","25627","53394"
"19","27711","25223","52934"
"20","28596","25563","54159"
"21","28442","25591","54033"
"22","28734","25787","54521"
"23","29160","25976","55136"
"24","29084","26641","55725"
"25","29318","27491","56809"
"26","30686","28747","59433"
"27","30243","28739","58982"
"28","31274","29729","61003"
"29","31202","30086","61288"
"30","32137","31335","63472"
"31","31694","31497","63191"
"32","32064","31593","63657"
"33","33443","33255","66698"
"34","34690","34249","68939"
"35","35582","34947","70529"
"36","36625","36746","73371"
"37","36735","37522","74257"
"38","37685","38220","75905"
"39","38711","39582","78293"
"40","40796","41885","82681"
"41","41679","42660","84339"
"42","42996","44816","87812"
"43","45122","47093","92215"
"44","46748","49349","96097"
"45","46808","49133","95941"
"46","47124","49905","97029"
"47","47060","49995","97055"
"48","47206","49736","96942"
"49","47517","50763","98280"
"50","46888","50275","97163"
"51","46703","50512","97215"
"52","47532","50115","97647"
"53","47323","50121","97444"
"54","47830","51139","98969"
"55","44646","48072","92718"
"56","42599","45951","88550"
"57","41342","44827","86169"
"58","39367","43043","82410"
"59","37969","41811","79780"
"60","36198","40092","76290"
"61","35510","39364","74874"
"62","34706","38291","72997"
"63","33907","37688","71595"
"64","32987","37139","70126"
"65","30961","34942","65903"
"66","30099","33969","64068"
"67","29466","33699","63165"
"68","30130","34402","64532"
"69","29956","34281","64237"
"70","31118","36267","67385"
"71","30760","35579","66339"
"72","29246","34888","64134"
"73","22442","27274","49716"
"74","22319","27108","49427"
"75","22705","28563","51268"
"76","21759","27465","49224"
"77","21546","27485","49031"
"78","22875","30112","52987"
"79","21601","28638","50239"
"80","19964","27215","47179"
"81","17705","24779","42484"
"82","15680","22735","38415"
"83","15027","22168","37195"
"84","13157","20733","33890"
"85","11565","18654","30219"
"86","9871","16814","26685"
"87","8930","15616","24546"
"88","7854","15031","22885"
"89","6144","11944","18088"
"90","4783","10297","15080"
"91","3717","8813","12530"
"92","2926","7341","10267"
"93","2122","5707","7829"
"94","1639","4565","6204"
"95","1137","3628","4765"
"96","818","2623","3441"
"97","541","1979","2520"
"98","387","1387","1774"
"99","157","619","776"
"100 and over","229","1154","1383"
"Total","2787540","2985536","5773076"
