"Age","Total males","Total females","Total"
"0","5205","4871","10076"
"1","5454","5187","10641"
"2","5906","5491","11397"
"3","6010","5838","11848"
"4","6253","5937","12190"
"5","6530","5970","12500"
"6","6627","6236","12863"
"7","6823","6638","13461"
"8","7062","6612","13674"
"9","7239","6788","14027"
"10","7269","6824","14093"
"11","7164","6727","13891"
"12","7062","6657","13719"
"13","7002","6664","13666"
"14","7113","6566","13679"
"15","6933","6582","13515"
"16","7086","6558","13644"
"17","6997","6557","13554"
"18","7504","6675","14179"
"19","7422","6744","14166"
"20","7765","6762","14527"
"21","7548","6789","14337"
"22","7488","6716","14204"
"23","7533","6840","14373"
"24","7429","6860","14289"
"25","7534","7113","14647"
"26","7863","7378","15241"
"27","7950","7351","15301"
"28","7960","7608","15568"
"29","7802","7583","15385"
"30","7908","7886","15794"
"31","7806","7581","15387"
"32","8131","7865","15996"
"33","8117","8233","16350"
"34","8266","8223","16489"
"35","8472","8577","17049"
"36","8895","8876","17771"
"37","8994","8895","17889"
"38","9351","9253","18604"
"39","9669","9824","19493"
"40","10427","10336","20763"
"41","10559","10770","21329"
"42","11018","10881","21899"
"43","11441","11621","23062"
"44","11864","11751","23615"
"45","11556","11722","23278"
"46","11763","11775","23538"
"47","12000","12293","24293"
"48","11736","11836","23572"
"49","11927","12515","24442"
"50","11967","12193","24160"
"51","11866","12298","24164"
"52","12015","12341","24356"
"53","12027","12165","24192"
"54","12324","12572","24896"
"55","11563","12058","23621"
"56","11193","11231","22424"
"57","11205","11506","22711"
"58","10638","11213","21851"
"59","10220","11030","21250"
"60","9979","10661","20640"
"61","9712","10458","20170"
"62","9647","10643","20290"
"63","9296","10220","19516"
"64","9056","9736","18792"
"65","8732","9522","18254"
"66","8799","9363","18162"
"67","8793","9623","18416"
"68","8985","9697","18682"
"69","8583","9406","17989"
"70","8784","9737","18521"
"71","8514","9306","17820"
"72","8350","9478","17828"
"73","6906","7730","14636"
"74","6529","7588","14117"
"75","6818","7897","14715"
"76","6305","7527","13832"
"77","6096","7605","13701"
"78","6821","8634","15455"
"79","6866","8663","15529"
"80","6639","8700","15339"
"81","5809","7602","13411"
"82","4966","7109","12075"
"83","4951","7195","12146"
"84","4501","6574","11075"
"85","3889","6156","10045"
"86","3299","5378","8677"
"87","3129","5393","8522"
"88","2719","4969","7688"
"89","2125","4034","6159"
"90","1787","3719","5506"
"91","1472","3370","4842"
"92","1111","2832","3943"
"93","881","2320","3201"
"94","570","1739","2309"
"95","449","1360","1809"
"96","300","979","1279"
"97","206","749","955"
"98","143","534","677"
"99","58","220","278"
"100 and over","62","365","427"
"Total","739088","781233","1520321"
