"Age","Total males","Total females","Total"
"0","14683","13600","28283"
"1","15103","14520","29623"
"2","15732","14836","30568"
"3","15831","15143","30974"
"4","16717","15601","32318"
"5","17002","16058","33060"
"6","17690","16575","34265"
"7","18198","17177","35375"
"8","18747","17767","36514"
"9","19058","17916","36974"
"10","19302","18168","37470"
"11","19564","18350","37914"
"12","19516","18628","38144"
"13","20069","18781","38850"
"14","20467","19761","40228"
"15","20737","19853","40590"
"16","20811","19957","40768"
"17","21634","20296","41930"
"18","22221","20896","43117"
"19","22713","20546","43259"
"20","22780","20659","43439"
"21","22657","20721","43378"
"22","22643","20975","43618"
"23","22643","20961","43604"
"24","22789","21229","44018"
"25","23380","21902","45282"
"26","24301","22894","47195"
"27","23759","22415","46174"
"28","23625","22258","45883"
"29","22810","22475","45285"
"30","23606","22729","46335"
"31","22924","22319","45243"
"32","22786","21964","44750"
"33","22390","22293","44683"
"34","22982","23231","46213"
"35","23302","23165","46467"
"36","23756","24201","47957"
"37","23947","24666","48613"
"38","24943","25124","50067"
"39","26236","26419","52655"
"40","27143","27274","54417"
"41","28285","28401","56686"
"42","29133","29656","58789"
"43","30009","30350","60359"
"44","30381","31582","61963"
"45","29473","30498","59971"
"46","29149","29966","59115"
"47","29813","30716","60529"
"48","29593","30554","60147"
"49","29928","31789","61717"
"50","30032","31848","61880"
"51","30568","32079","62647"
"52","30761","32459","63220"
"53","30528","32615","63143"
"54","31041","32948","63989"
"55","28620","30838","59458"
"56","27905","30003","57908"
"57","27581","29720","57301"
"58","26888","28846","55734"
"59","26001","28356","54357"
"60","24303","27161","51464"
"61","24852","27286","52138"
"62","24089","26578","50667"
"63","23827","26312","50139"
"64","23280","25413","48693"
"65","22356","24627","46983"
"66","21409","23612","45021"
"67","22107","24312","46419"
"68","22724","25027","47751"
"69","22592","24878","47470"
"70","23569","26467","50036"
"71","22028","24739","46767"
"72","21255","24539","45794"
"73","18010","20416","38426"
"74","15838","18623","34461"
"75","15599","18459","34058"
"76","15633","18789","34422"
"77","14547","17656","32203"
"78","15449","19020","34469"
"79","14615","18824","33439"
"80","13287","17600","30887"
"81","12041","16518","28559"
"82","10647","14996","25643"
"83","10131","14590","24721"
"84","9125","13860","22985"
"85","8018","12536","20554"
"86","6997","11443","18440"
"87","6214","10486","16700"
"88","5557","9877","15434"
"89","4198","7987","12185"
"90","3407","6962","10369"
"91","2793","5997","8790"
"92","2018","4673","6691"
"93","1514","3673","5187"
"94","1117","2759","3876"
"95","815","2272","3087"
"96","592","1616","2208"
"97","374","1153","1527"
"98","242","835","1077"
"99","110","406","516"
"100 and over","179","680","859"
"Total","1934344","2041184","3975528"
