Territorio dell'evento,Età e classe di età,Value
Piemonte,15-19 anni,475
Valle d'Aosta / Vallée d'Aoste,15-19 anni,10
Liguria,15-19 anni,202
Lombardia,15-19 anni,968
Trentino Alto Adige / Südtirol,15-19 anni,99
Veneto,15-19 anni,294
Friuli-Venezia Giulia,15-19 anni,120
Emilia-Romagna,15-19 anni,438
Toscana,15-19 anni,387
Umbria,15-19 anni,102
Marche,15-19 anni,108
Abruzzo,15-19 anni,104
Molise,15-19 anni,20
Campania,15-19 anni,505
Puglia,15-19 anni,565
Basilicata,15-19 anni,44
Calabria,15-19 anni,136
Sicilia,15-19 anni,508
Sardegna,15-19 anni,150
Piemonte,20-24 anni,1195
Valle d'Aosta / Vallée d'Aoste,20-24 anni,36
Liguria,20-24 anni,462
Lombardia,20-24 anni,2413
Trentino Alto Adige / Südtirol,20-24 anni,227
Veneto,20-24 anni,822
Friuli-Venezia Giulia,20-24 anni,223
Emilia-Romagna,20-24 anni,1206
Toscana,20-24 anni,923
Umbria,20-24 anni,173
Marche,20-24 anni,275
Abruzzo,20-24 anni,264
Molise,20-24 anni,82
Campania,20-24 anni,1231
Puglia,20-24 anni,1229
Basilicata,20-24 anni,80
Calabria,20-24 anni,313
Sicilia,20-24 anni,1047
Sardegna,20-24 anni,361
Piemonte,25-29 anni,1343
Valle d'Aosta / Vallée d'Aoste,25-29 anni,34
Liguria,25-29 anni,509
Lombardia,25-29 anni,2840
Trentino Alto Adige / Südtirol,25-29 anni,267
Veneto,25-29 anni,984
Friuli-Venezia Giulia,25-29 anni,253
Emilia-Romagna,25-29 anni,1502
Toscana,25-29 anni,1145
Umbria,25-29 anni,248
Marche,25-29 anni,288
Abruzzo,25-29 anni,327
Molise,25-29 anni,70
Campania,25-29 anni,1543
Puglia,25-29 anni,1327
Basilicata,25-29 anni,95
Calabria,25-29 anni,439
Sicilia,25-29 anni,1258
Sardegna,25-29 anni,334
Piemonte,fino a 14 anni,9
Valle d'Aosta / Vallée d'Aoste,fino a 14 anni,0
Liguria,fino a 14 anni,3
Lombardia,fino a 14 anni,28
Trentino Alto Adige / Südtirol,fino a 14 anni,1
Veneto,fino a 14 anni,9
Friuli-Venezia Giulia,fino a 14 anni,0
Emilia-Romagna,fino a 14 anni,5
Toscana,fino a 14 anni,5
Umbria,fino a 14 anni,1
Marche,fino a 14 anni,5
Abruzzo,fino a 14 anni,1
Molise,fino a 14 anni,0
Campania,fino a 14 anni,11
Puglia,fino a 14 anni,18
Basilicata,fino a 14 anni,2
Calabria,fino a 14 anni,3
Sicilia,fino a 14 anni,22
Sardegna,fino a 14 anni,0
Piemonte,non indicato,2
Valle d'Aosta / Vallée d'Aoste,non indicato,0
Liguria,non indicato,0
Lombardia,non indicato,1
Trentino Alto Adige / Südtirol,non indicato,0
Veneto,non indicato,0
Friuli-Venezia Giulia,non indicato,0
Emilia-Romagna,non indicato,0
Toscana,non indicato,3
Umbria,non indicato,15
Marche,non indicato,2
Abruzzo,non indicato,1
Molise,non indicato,0
Campania,non indicato,6
Puglia,non indicato,5
Basilicata,non indicato,0
Calabria,non indicato,0
Sicilia,non indicato,1
Sardegna,non indicato,12
