Territorio dell'evento,Età e classe di età,Value
Piemonte,15-19 anni,451
Valle d'Aosta / Vallée d'Aoste,15-19 anni,7
Liguria,15-19 anni,170
Lombardia,15-19 anni,947
Trentino Alto Adige / Südtirol,15-19 anni,88
Veneto,15-19 anni,326
Friuli-Venezia Giulia,15-19 anni,100
Emilia-Romagna,15-19 anni,434
Toscana,15-19 anni,341
Umbria,15-19 anni,79
Marche,15-19 anni,114
Lazio,15-19 anni,614
Abruzzo,15-19 anni,92
Molise,15-19 anni,28
Campania,15-19 anni,477
Puglia,15-19 anni,500
Basilicata,15-19 anni,26
Calabria,15-19 anni,131
Sicilia,15-19 anni,460
Sardegna,15-19 anni,108
Piemonte,20-24 anni,1145
Valle d'Aosta / Vallée d'Aoste,20-24 anni,24
Liguria,20-24 anni,428
Lombardia,20-24 anni,2296
Trentino Alto Adige / Südtirol,20-24 anni,220
Veneto,20-24 anni,817
Friuli-Venezia Giulia,20-24 anni,223
Emilia-Romagna,20-24 anni,1157
Toscana,20-24 anni,917
Umbria,20-24 anni,175
Marche,20-24 anni,278
Lazio,20-24 anni,1446
Abruzzo,20-24 anni,240
Molise,20-24 anni,61
Campania,20-24 anni,1152
Puglia,20-24 anni,1142
Basilicata,20-24 anni,80
Calabria,20-24 anni,300
Sicilia,20-24 anni,955
Sardegna,20-24 anni,280
