"Age","Total males","Total females","Total"
"0","1909","1721","3630"
"1","1843","1796","3639"
"2","2045","1853","3898"
"3","2044","1924","3968"
"4","2038","1958","3996"
"5","2047","1998","4045"
"6","2093","1933","4026"
"7","2309","2097","4406"
"8","2252","2122","4374"
"9","2321","2206","4527"
"10","2454","2268","4722"
"11","2528","2324","4852"
"12","2497","2295","4792"
"13","2579","2374","4953"
"14","2536","2384","4920"
"15","2618","2628","5246"
"16","2774","2515","5289"
"17","2834","2632","5466"
"18","2917","2612","5529"
"19","3073","2675","5748"
"20","3036","2739","5775"
"21","3105","2670","5775"
"22","3065","2727","5792"
"23","3101","2764","5865"
"24","3131","2802","5933"
"25","3126","2937","6063"
"26","3239","2926","6165"
"27","3444","3191","6635"
"28","3319","3154","6473"
"29","3502","3205","6707"
"30","3397","3101","6498"
"31","3340","3164","6504"
"32","3346","3072","6418"
"33","3251","3002","6253"
"34","3409","3104","6513"
"35","3415","3224","6639"
"36","3325","3215","6540"
"37","3319","3308","6627"
"38","3370","3229","6599"
"39","3384","3229","6613"
"40","3472","3296","6768"
"41","3735","3484","7219"
"42","3635","3726","7361"
"43","4005","3865","7870"
"44","3945","4044","7989"
"45","4144","4045","8189"
"46","4049","4010","8059"
"47","4047","4197","8244"
"48","4104","4222","8326"
"49","4124","4318","8442"
"50","4359","4322","8681"
"51","4322","4434","8756"
"52","4443","4579","9022"
"53","4221","4538","8759"
"54","4393","4524","8917"
"55","4529","4698","9227"
"56","4312","4409","8721"
"57","4371","4429","8800"
"58","4153","4402","8555"
"59","4047","4337","8384"
"60","3923","4128","8051"
"61","3821","3942","7763"
"62","3565","4041","7606"
"63","3749","3976","7725"
"64","3685","3721","7406"
"65","3571","3825","7396"
"66","3354","3456","6810"
"67","3217","3487","6704"
"68","3140","3428","6568"
"69","3335","3453","6788"
"70","3348","3472","6820"
"71","3310","3669","6979"
"72","2932","3350","6282"
"73","2676","3004","5680"
"74","1990","2409","4399"
"75","2019","2300","4319"
"76","1971","2274","4245"
"77","1851","2330","4181"
"78","1813","2311","4124"
"79","2140","2636","4776"
"80","2110","2761","4871"
"81","1942","2606","4548"
"82","1834","2581","4415"
"83","1673","2376","4049"
"84","1490","2284","3774"
"85","1432","2214","3646"
"86","1249","2020","3269"
"87","1052","1725","2777"
"88","930","1532","2462"
"89","795","1501","2296"
"90","655","1201","1856"
"91","505","965","1470"
"92","401","822","1223"
"93","266","671","937"
"94","192","502","694"
"95","148","335","483"
"96","130","281","411"
"97","89","202","291"
"98","53","173","226"
"99","29","78","107"
"100 and over","20","105","125"
"Total","272150","281104","553254"
