"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","20737","0","0","0","0","0","0","20737","19853","0","0","0","0","0","0","19853","40590"
"16","20803","7","1","0","0","0","0","20811","19947","9","0","1","0","0","0","19957","40768"
"17","21624","5","2","3","0","0","0","21634","20283","13","0","0","0","0","0","20296","41930"
"18","22213","8","0","0","0","0","0","22221","20864","29","0","3","0","0","0","20896","43117"
"19","22687","17","2","6","1","0","0","22713","20450","94","0","1","1","0","0","20546","43259"
"20","22730","43","0","7","0","0","0","22780","20466","188","1","4","0","0","0","20659","43439"
"21","22576","66","2","13","0","0","0","22657","20351","368","0","2","0","0","0","20721","43378"
"22","22475","147","2","17","2","0","0","22643","20405","565","3","2","0","0","0","20975","43618"
"23","22369","251","6","15","2","0","0","22643","20041","908","6","4","2","0","0","20961","43604"
"24","22386","378","7","17","1","0","0","22789","19830","1388","6","5","0","0","0","21229","44018"
"25","22642","714","6","16","2","0","0","23380","19729","2149","18","4","2","0","0","21902","45282"
"Total","243242","1636","28","94","8","0","0","245008","222219","5711","34","26","5","0","0","227995","473003"
