,Region code,Region,Population,TIPO_DATO_AVQ,Religious observation,Live_births,Miscarriages,Abortions,Total,Time,Age range_GENERAL,Gender,Population_FEMALE,Early leavers absolute value,Female Early Leavers
0,ITC1,Piemonte,4349911,6_WEEK_RELIG,23.1498989289666,2.657262843680953,0.1507147978519483,0.8145427586173258,3.622520400150227,2017,18-24,Females,4349911,7.6,14.76892529522819
1,ITC2,Valle d'Aosta / Vallée d'Aoste,126213,6_WEEK_RELIG,17.430851021685562,2.3089430894308944,0.1463414634146341,0.7479674796747967,3.203252032520325,2017,18-24,Females,126213,11.8,23.10410015358124
2,ITC3,Liguria,1541541,6_WEEK_RELIG,16.347278470050423,2.6097582264118007,0.1338337552006051,0.9659305810130632,3.709522562625469,2017,18-24,Females,1541541,13.5,25.849360933074973
3,ITC4,Lombardia,9986962,6_WEEK_RELIG,25.42314669866572,2.7331708475305474,0.1215599448820016,0.6861338458197788,3.5408646382323274,2017,18-24,Females,9986962,8.2,16.046478049445742
4,ITD3,Veneto,4880936,6_WEEK_RELIG,26.675211475831684,2.409824168784993,0.1163559112451704,0.4524501635874919,2.978630243617656,2017,18-24,Females,4880936,10.7,20.91855408637863
5,ITD4,Friuli-Venezia Giulia,1211155,6_WEEK_RELIG,20.063493111946865,2.431511813306276,0.1358892593129439,0.6214668792578635,3.1888679518770835,2017,18-24,Females,1211155,7.3,14.177867346153352
6,ITD5,Emilia-Romagna,4445920,6_WEEK_RELIG,18.75877208766689,2.9121325949734733,0.1132711148975719,0.7958021918444798,3.821205901715525,2017,18-24,Females,4445920,8.7,16.91468513487098
7,ITDA,Trentino Alto Adige / Südtirol,1068738,6_WEEK_RELIG,24.98273664827114,2.891472110970011,0.0814040571782097,0.5307544528019277,3.503630620950148,2017,18-24,Females,1068738,9.1,17.922989230190847
8,ITE1,Toscana,3712048,6_WEEK_RELIG,18.372607250768308,2.566289981418939,0.1291325332180294,0.7654462376272335,3.4608687522642017,2017,18-24,Females,3712048,8.6,16.621929716771877
9,ITE2,Umbria,876477,6_WEEK_RELIG,20.19448314102937,2.557643867467545,0.0993024607634179,0.6660530904863399,3.322999418717303,2017,18-24,Females,876477,8.5,16.392480417180074
10,ITE3,Marche,1526331,6_WEEK_RELIG,26.468701742937803,2.472674667809687,0.1285897985426489,0.5130197171024432,3.1142841834547794,2017,18-24,Females,1526331,5.0,9.719352472357432
11,ITE4,Lazio,5774606,6_WEEK_RELIG,23.94968591796566,2.3724833978728253,0.1541938988277759,0.7671146466681853,3.2937919433687863,2017,18-24,Females,5774606,8.4,16.230274287263
12,ITF1,Abruzzo,1306059,6_WEEK_RELIG,23.73552802744745,2.580311825669392,0.0926967145852961,0.5592195240555572,3.232228064310245,2017,18-24,Females,1306059,7.7,15.025024091363417
13,ITF2,Molise,306564,6_WEEK_RELIG,29.35765451912162,2.2908366533864544,0.1245019920318725,0.6349601593625498,3.0502988047808763,2017,18-24,Females,306564,9.9,19.53856295828961
14,ITF3,Campania,5762889,6_WEEK_RELIG,30.22789437728195,3.3338063685089567,0.083508902158132,0.4737629220474418,3.8910781927145295,2017,18-24,Females,5762889,17.7,34.53037269313733
15,ITF4,Puglia,4000966,6_WEEK_RELIG,32.942044496254155,2.8004285843377383,0.180728335190819,0.771968174600784,3.753125094129341,2017,18-24,Females,4000966,13.6,26.4610807714266
16,ITF5,Basilicata,562968,6_WEEK_RELIG,29.13131829873101,1.927664238282509,0.1353877893108117,0.3997163303462059,2.462768357939527,2017,18-24,Females,562968,11.5,22.627884786780047
17,ITF6,Calabria,1924257,6_WEEK_RELIG,32.32416459963508,3.106329982130932,0.1389816435933072,0.4052127141129542,3.650524339837193,2017,18-24,Females,1924257,10.4,20.395982417215063
18,ITG1,Sicilia,4942188,6_WEEK_RELIG,30.18905796380065,4.053409957511712,0.188269419326724,0.5294013509096851,4.771080727748121,2017,18-24,Females,4942188,17.4,33.86503977250575
19,ITG2,Sardegna,1631040,6_WEEK_RELIG,23.420639591916814,2.258308748661985,0.1044304623658721,0.6670495783620082,3.029788789389865,2017,18-24,Females,1631040,15.6,30.667847857765302
20,ITC1,Piemonte,8657130,6_WEEK_RELIG,9.206284299762162,1.235494880546075,0.1238420282788883,0.3890784982935154,1.7484154071184788,2018,18-24,Females,8657130,11.5,11.5
21,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,6_WEEK_RELIG,7.958425186824031,1.16580310880829,0.1214378238341968,0.2509715025906736,1.5382124352331603,2018,18-24,Females,251306,13.6,13.6
22,ITC3,Liguria,3065960,6_WEEK_RELIG,9.1977716604261,1.3114466804918656,0.0226363291176212,0.4366620907205654,1.7707451003300525,2018,18-24,Females,3065960,12.6,12.6
23,ITC4,Lombardia,20021666,6_WEEK_RELIG,11.842171375748652,1.2565525127024133,0.0772008793049303,0.3264177986778217,1.6601711906851653,2018,18-24,Females,20021666,9.9,9.9
24,ITD3,Veneto,9769180,6_WEEK_RELIG,11.82289608749148,1.1747187293183323,0.1706994237381156,0.2306258171780923,1.57604397023454,2018,18-24,Females,9769180,10.6,10.6
25,ITD4,Friuli-Venezia Giulia,2420828,6_WEEK_RELIG,9.79003878011986,1.1923932907521668,0.2153183635804368,0.2922177791448785,1.699929433477482,2018,18-24,Females,2420828,6.9,6.9
26,ITD5,Emilia-Romagna,8918906,6_WEEK_RELIG,9.373346910484312,1.3786019094980488,0.1701651730212598,0.381851608288892,1.9306186908082008,2018,18-24,Females,8918906,9.1,9.1
27,ITDA,Trentino Alto Adige / Südtirol,2148068,6_WEEK_RELIG,11.079723733140664,1.3829839222010458,0.1653390672596067,0.2508592744628516,1.7991822639235042,2018,18-24,Females,2148068,8.0,8.0
28,ITE1,Toscana,7402686,6_WEEK_RELIG,8.888665546532705,1.2165279602861732,0.1752080595707402,0.3673528982333187,1.759088918090232,2018,18-24,Females,7402686,9.8,9.800000000000002
29,ITE2,Umbria,1747488,6_WEEK_RELIG,10.1288249189694,1.227517875881592,0.1098177026136613,0.3099299607096664,1.6472655392049198,2018,18-24,Females,1747488,7.1,7.1
30,ITE3,Marche,3040642,6_WEEK_RELIG,13.582657872909737,0.2869642279396249,0.0457173402354794,0.0689276822011844,0.4016092503762888,2018,18-24,Females,3040642,6.8,6.799999999999999
31,ITE4,Lazio,11546152,6_WEEK_RELIG,11.518989183582548,1.1038979307628465,0.2053763592116924,0.3622220034041835,1.6714962933787223,2018,18-24,Females,11546152,8.5,8.5
32,ITF1,Abruzzo,2601290,6_WEEK_RELIG,12.532243617589735,1.1951944513252415,0.1788147138964577,0.2569977706217488,1.631006935843448,2018,18-24,Females,2601290,6.9,6.9
33,ITF2,Molise,607580,6_WEEK_RELIG,13.166990355179564,0.9154929577464788,0.147247119078105,0.2848911651728553,1.3476312419974392,2018,18-24,Females,607580,8.0,8.0
34,ITF3,Campania,11480582,6_WEEK_RELIG,14.311121160930693,1.55175047563499,0.0052771181380105,0.2262217222847144,1.783249316057715,2018,18-24,Females,11480582,18.7,18.7
35,ITF4,Puglia,7951056,6_WEEK_RELIG,14.828219044111876,1.352222636461326,0.2263207526480843,0.3600956161319327,1.938639005241343,2018,18-24,Females,7951056,13.0,13.0
36,ITF5,Basilicata,1117174,6_WEEK_RELIG,13.516247245281397,0.9804246298565796,0.1805173727269716,0.1755490046702659,1.3364910072538174,2018,18-24,Females,1117174,8.0,8.0
37,ITF6,Calabria,3824042,6_WEEK_RELIG,15.664053898989604,1.394291018797865,0.2093293107449524,0.2000464144813181,1.803666744024136,2018,18-24,Females,3824042,14.7,14.7
38,ITG1,Sicilia,9817096,6_WEEK_RELIG,14.352513207571771,1.952341938745272,0.2477033834783063,0.2466574860111213,2.4467028082347,2018,18-24,Females,9817096,20.7,20.7
39,ITG2,Sardegna,13061610,6_WEEK_RELIG,2.802104794125686,1.0691915900900302,0.1895022407808822,0.2579890155192361,1.5166828463901485,2018,18-24,Females,13061610,16.5,16.5
40,ITC1,Piemonte,8622434,6_WEEK_RELIG,10.089958357466116,1.3250509541437028,0.0751543217383267,0.4061738424045491,1.8063791182865787,2019,18-24,Females,8622434,10.3,10.3
41,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,6_WEEK_RELIG,9.997280739638818,1.1414790996784565,0.0723472668810289,0.3697749196141479,1.5836012861736335,2019,18-24,Females,250068,9.7,9.7
42,ITC3,Liguria,3049652,6_WEEK_RELIG,7.902541011236692,1.3052778626620685,0.0669373262903624,0.4831128767043552,1.855328065656786,2019,18-24,Females,3049652,6.6,6.6
