"Age","Total males","Total females","Total"
"0","4909","4559","9468"
"1","5008","4728","9736"
"2","5147","4877","10024"
"3","5260","5018","10278"
"4","5324","5072","10396"
"5","5460","5176","10636"
"6","5493","5130","10623"
"7","5584","5275","10859"
"8","5581","5320","10901"
"9","5744","5348","11092"
"10","5670","5304","10974"
"11","5787","5493","11280"
"12","5813","5344","11157"
"13","5794","5443","11237"
"14","5976","5420","11396"
"15","5943","5586","11529"
"16","5857","5404","11261"
"17","5783","5381","11164"
"18","6042","5454","11496"
"19","6060","5712","11772"
"20","6093","5687","11780"
"21","6137","5791","11928"
"22","6230","5684","11914"
"23","6140","5741","11881"
"24","6065","5538","11603"
"25","6043","5730","11773"
"26","5954","5687","11641"
"27","6191","5889","12080"
"28","6207","5868","12075"
"29","6279","5895","12174"
"30","6112","5913","12025"
"31","6165","5927","12092"
"32","5993","5904","11897"
"33","6057","5866","11923"
"34","6205","6004","12209"
"35","6249","6015","12264"
"36","6379","6250","12629"
"37","6586","6473","13059"
"38","6545","6411","12956"
"39","6604","6531","13135"
"40","6524","6655","13179"
"41","6928","6955","13883"
"42","6992","6988","13980"
"43","7169","7378","14547"
"44","7545","7766","15311"
"45","8134","8095","16229"
"46","8040","8232","16272"
"47","8243","8270","16513"
"48","8520","8556","17076"
"49","8341","8421","16762"
"50","8989","8645","17634"
"51","8817","8660","17477"
"52","8619","8797","17416"
"53","8906","8878","17784"
"54","9110","8799","17909"
"55","8985","8838","17823"
"56","8412","8284","16696"
"57","7820","7961","15781"
"58","7749","8003","15752"
"59","7567","7505","15072"
"60","7310","7234","14544"
"61","6768","6877","13645"
"62","6461","6891","13352"
"63","6387","6504","12891"
"64","6071","6249","12320"
"65","5838","6063","11901"
"66","5700","5988","11688"
"67","5491","5863","11354"
"68","5411","5608","11019"
"69","5454","5900","11354"
"70","5249","5572","10821"
"71","5406","5725","11131"
"72","5055","5694","10749"
"73","5338","6105","11443"
"74","3833","4306","8139"
"75","4282","4980","9262"
"76","4462","5248","9710"
"77","4341","5150","9491"
"78","4201","5143","9344"
"79","3874","4965","8839"
"80","3664","4703","8367"
"81","3314","4374","7688"
"82","2897","3881","6778"
"83","2499","3670","6169"
"84","2291","3556","5847"
"85","2068","3354","5422"
"86","1890","3106","4996"
"87","1660","2863","4523"
"88","1441","2595","4036"
"89","1230","2516","3746"
"90","917","2084","3001"
"91","783","1755","2538"
"92","611","1511","2122"
"93","441","1226","1667"
"94","319","1028","1347"
"95","227","801","1028"
"96","182","680","862"
"97","122","511","633"
"98","73","330","403"
"99","42","226","268"
"100 and over","24","194","218"
"Total","531506","546563","1078069"
