RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITD3,ITL,Y_UN17,24
ITD3,ITL,Y18,53
ITD3,ITL,Y19,87
ITD3,ITL,Y20,117
ITD3,ITL,Y21,155
ITD3,ITL,Y22,221
ITD3,ITL,Y23,276
ITD3,ITL,Y24,372
ITD3,ITL,Y25,529
ITD3,TOTAL,Y_UN17,32
ITD3,TOTAL,Y18,81
ITD3,TOTAL,Y19,178
ITD3,TOTAL,Y20,277
ITD3,TOTAL,Y21,368
ITD3,TOTAL,Y22,512
ITD3,TOTAL,Y23,666
ITD3,TOTAL,Y24,797
ITD3,TOTAL,Y25,991
ITD4,FRG,Y_UN17,0
ITD4,FRG,Y18,5
ITD4,FRG,Y19,20
ITD4,FRG,Y20,22
ITD4,FRG,Y21,48
ITD4,FRG,Y22,72
ITD4,FRG,Y23,63
ITD4,FRG,Y24,89
ITD4,FRG,Y25,101
ITD4,ITL,Y_UN17,11
ITD4,ITL,Y18,17
ITD4,ITL,Y19,27
ITD4,ITL,Y20,21
ITD4,ITL,Y21,35
ITD4,ITL,Y22,59
ITD4,ITL,Y23,73
ITD4,ITL,Y24,97
ITD4,ITL,Y25,141
ITD4,TOTAL,Y_UN17,11
ITD4,TOTAL,Y18,22
ITD4,TOTAL,Y19,47
ITD4,TOTAL,Y20,43
ITD4,TOTAL,Y21,83
ITD4,TOTAL,Y22,131
ITD4,TOTAL,Y23,136
ITD4,TOTAL,Y24,186
ITD4,TOTAL,Y25,242
ITD5,FRG,Y_UN17,20
ITD5,FRG,Y18,41
ITD5,FRG,Y19,108
ITD5,FRG,Y20,164
ITD5,FRG,Y21,261
ITD5,FRG,Y22,336
ITD5,FRG,Y23,388
ITD5,FRG,Y24,447
ITD5,FRG,Y25,523
ITD5,ITL,Y_UN17,20
ITD5,ITL,Y18,25
ITD5,ITL,Y19,77
ITD5,ITL,Y20,114
ITD5,ITL,Y21,126
ITD5,ITL,Y22,188
ITD5,ITL,Y23,230
ITD5,ITL,Y24,327
ITD5,ITL,Y25,449
ITD5,TOTAL,Y_UN17,40
ITD5,TOTAL,Y18,66
ITD5,TOTAL,Y19,185
ITD5,TOTAL,Y20,278
ITD5,TOTAL,Y21,387
ITD5,TOTAL,Y22,524
ITD5,TOTAL,Y23,618
ITD5,TOTAL,Y24,774
ITD5,TOTAL,Y25,972
ITDA,FRG,Y_UN17,0
ITDA,FRG,Y18,9
ITDA,FRG,Y19,22
ITDA,FRG,Y20,24
ITDA,FRG,Y21,51
ITDA,FRG,Y22,68
ITDA,FRG,Y23,75
ITDA,FRG,Y24,99
ITDA,FRG,Y25,111
ITDA,ITL,Y_UN17,14
ITDA,ITL,Y18,9
ITDA,ITL,Y19,35
ITDA,ITL,Y20,46
ITDA,ITL,Y21,54
ITDA,ITL,Y22,76
ITDA,ITL,Y23,113
ITDA,ITL,Y24,154
ITDA,ITL,Y25,228
ITDA,TOTAL,Y_UN17,14
ITDA,TOTAL,Y18,18
ITDA,TOTAL,Y19,57
ITDA,TOTAL,Y20,70
ITDA,TOTAL,Y21,105
ITDA,TOTAL,Y22,144
ITDA,TOTAL,Y23,188
ITDA,TOTAL,Y24,253
ITDA,TOTAL,Y25,339
ITE1,FRG,Y_UN17,14
ITE1,FRG,Y18,32
ITE1,FRG,Y19,69
ITE1,FRG,Y20,130
ITE1,FRG,Y21,175
ITE1,FRG,Y22,240
ITE1,FRG,Y23,253
ITE1,FRG,Y24,306
ITE1,FRG,Y25,377
ITE1,ITL,Y_UN17,32
ITE1,ITL,Y18,42
ITE1,ITL,Y19,59
ITE1,ITL,Y20,78
ITE1,ITL,Y21,103
ITE1,ITL,Y22,130
ITE1,ITL,Y23,167
ITE1,ITL,Y24,253
ITE1,ITL,Y25,355
ITE1,TOTAL,Y_UN17,46
ITE1,TOTAL,Y18,74
ITE1,TOTAL,Y19,128
ITE1,TOTAL,Y20,208
ITE1,TOTAL,Y21,278
ITE1,TOTAL,Y22,370
ITE1,TOTAL,Y23,420
ITE1,TOTAL,Y24,559
ITE1,TOTAL,Y25,732
ITE2,FRG,Y_UN17,4
ITE2,FRG,Y18,14
ITE2,FRG,Y19,13
ITE2,FRG,Y20,40
ITE2,FRG,Y21,39
ITE2,FRG,Y22,45
ITE2,FRG,Y23,45
ITE2,FRG,Y24,64
ITE2,FRG,Y25,86
ITE2,ITL,Y_UN17,5
ITE2,ITL,Y18,3
ITE2,ITL,Y19,15
ITE2,ITL,Y20,22
ITE2,ITL,Y21,26
ITE2,ITL,Y22,35
ITE2,ITL,Y23,48
ITE2,ITL,Y24,85
ITE2,ITL,Y25,115
ITE2,TOTAL,Y_UN17,9
ITE2,TOTAL,Y18,17
ITE2,TOTAL,Y19,28
ITE2,TOTAL,Y20,62
ITE2,TOTAL,Y21,65
ITE2,TOTAL,Y22,80
ITE2,TOTAL,Y23,93
ITE2,TOTAL,Y24,149
ITE2,TOTAL,Y25,201
ITE3,FRG,Y_UN17,3
ITE3,FRG,Y18,14
ITE3,FRG,Y19,21
ITE3,FRG,Y20,41
ITE3,FRG,Y21,47
ITE3,FRG,Y22,80
ITE3,FRG,Y23,87
ITE3,FRG,Y24,116
ITE3,FRG,Y25,127
ITE3,ITL,Y_UN17,11
ITE3,ITL,Y18,10
ITE3,ITL,Y19,28
ITE3,ITL,Y20,35
ITE3,ITL,Y21,62
ITE3,ITL,Y22,71
ITE3,ITL,Y23,86
ITE3,ITL,Y24,104
ITE3,ITL,Y25,161
ITE3,TOTAL,Y_UN17,14
ITE3,TOTAL,Y18,24
ITE3,TOTAL,Y19,49
ITE3,TOTAL,Y20,76
ITE3,TOTAL,Y21,109
ITE3,TOTAL,Y22,151
ITE3,TOTAL,Y23,173
ITE3,TOTAL,Y24,220
ITE3,TOTAL,Y25,288
ITE4,FRG,Y_UN17,23
ITE4,FRG,Y18,42
ITE4,FRG,Y19,76
ITE4,FRG,Y20,110
ITE4,FRG,Y21,171
ITE4,FRG,Y22,201
ITE4,FRG,Y23,237
ITE4,FRG,Y24,331
ITE4,FRG,Y25,398
ITE4,ITL,Y_UN17,58
ITE4,ITL,Y18,74
ITE4,ITL,Y19,122
ITE4,ITL,Y20,182
ITE4,ITL,Y21,206
ITE4,ITL,Y22,362
ITE4,ITL,Y23,409
ITE4,ITL,Y24,535
ITE4,ITL,Y25,692
ITE4,TOTAL,Y_UN17,81
ITE4,TOTAL,Y18,116
ITE4,TOTAL,Y19,198
ITE4,TOTAL,Y20,292
ITE4,TOTAL,Y21,377
ITE4,TOTAL,Y22,563
ITE4,TOTAL,Y23,646
ITE4,TOTAL,Y24,866
ITE4,TOTAL,Y25,1090
ITF1,FRG,Y_UN17,1
ITF1,FRG,Y18,4
ITF1,FRG,Y19,17
ITF1,FRG,Y20,30
ITF1,FRG,Y21,32
ITF1,FRG,Y22,53
ITF1,FRG,Y23,44
ITF1,FRG,Y24,65
ITF1,FRG,Y25,68
ITF1,ITL,Y_UN17,7
ITF1,ITL,Y18,13
ITF1,ITL,Y19,46
ITF1,ITL,Y20,37
ITF1,ITL,Y21,63
ITF1,ITL,Y22,77
ITF1,ITL,Y23,126
ITF1,ITL,Y24,157
ITF1,ITL,Y25,184
ITF1,TOTAL,Y_UN17,8
ITF1,TOTAL,Y18,17
ITF1,TOTAL,Y19,63
ITF1,TOTAL,Y20,67
ITF1,TOTAL,Y21,95
ITF1,TOTAL,Y22,130
ITF1,TOTAL,Y23,170
ITF1,TOTAL,Y24,222
ITF1,TOTAL,Y25,252
ITF2,FRG,Y_UN17,0
ITF2,FRG,Y18,1
ITF2,FRG,Y19,1
ITF2,FRG,Y20,5
ITF2,FRG,Y21,3
ITF2,FRG,Y22,7
ITF2,FRG,Y23,6
ITF2,FRG,Y24,12
ITF2,FRG,Y25,9
ITF2,ITL,Y_UN17,2
ITF2,ITL,Y18,4
ITF2,ITL,Y19,12
ITF2,ITL,Y20,11
ITF2,ITL,Y21,16
ITF2,ITL,Y22,20
ITF2,ITL,Y23,19
ITF2,ITL,Y24,24
ITF2,ITL,Y25,58
ITF2,TOTAL,Y_UN17,2
ITF2,TOTAL,Y18,5
ITF2,TOTAL,Y19,13
ITF2,TOTAL,Y20,16
ITF2,TOTAL,Y21,19
ITF2,TOTAL,Y22,27
ITF2,TOTAL,Y23,25
ITF2,TOTAL,Y24,36
ITF2,TOTAL,Y25,67
ITF3,FRG,Y_UN17,20
ITF3,FRG,Y18,21
ITF3,FRG,Y19,40
ITF3,FRG,Y20,67
ITF3,FRG,Y21,90
ITF3,FRG,Y22,104
ITF3,FRG,Y23,117
ITF3,FRG,Y24,166
ITF3,FRG,Y25,171
ITF3,ITL,Y_UN17,207
ITF3,ITL,Y18,258
ITF3,ITL,Y19,401
ITF3,ITL,Y20,521
ITF3,ITL,Y21,620
ITF3,ITL,Y22,812
ITF3,ITL,Y23,936
ITF3,ITL,Y24,1207
ITF3,ITL,Y25,1459
ITF3,TOTAL,Y_UN17,227
ITF3,TOTAL,Y18,279
ITF3,TOTAL,Y19,441
ITF3,TOTAL,Y20,588
ITF3,TOTAL,Y21,710
ITF3,TOTAL,Y22,916
ITF3,TOTAL,Y23,1053
ITF3,TOTAL,Y24,1373
ITF3,TOTAL,Y25,1630
ITF4,FRG,Y_UN17,8
ITF4,FRG,Y18,32
ITF4,FRG,Y19,46
ITF4,FRG,Y20,53
ITF4,FRG,Y21,59
ITF4,FRG,Y22,92
ITF4,FRG,Y23,77
ITF4,FRG,Y24,111
ITF4,FRG,Y25,119
ITF4,ITL,Y_UN17,127
ITF4,ITL,Y18,107
ITF4,ITL,Y19,231
ITF4,ITL,Y20,305
ITF4,ITL,Y21,359
ITF4,ITL,Y22,404
ITF4,ITL,Y23,470
ITF4,ITL,Y24,602
ITF4,ITL,Y25,763
ITF4,TOTAL,Y_UN17,135
ITF4,TOTAL,Y18,139
ITF4,TOTAL,Y19,277
ITF4,TOTAL,Y20,358
ITF4,TOTAL,Y21,418
ITF4,TOTAL,Y22,496
ITF4,TOTAL,Y23,547
ITF4,TOTAL,Y24,713
ITF4,TOTAL,Y25,882
ITF5,FRG,Y_UN17,3
ITF5,FRG,Y18,5
ITF5,FRG,Y19,11
ITF5,FRG,Y20,8
ITF5,FRG,Y21,14
ITF5,FRG,Y22,9
ITF5,FRG,Y23,12
ITF5,FRG,Y24,20
ITF5,FRG,Y25,20
ITF5,ITL,Y_UN17,6
ITF5,ITL,Y18,11
ITF5,ITL,Y19,14
ITF5,ITL,Y20,19
ITF5,ITL,Y21,34
ITF5,ITL,Y22,25
ITF5,ITL,Y23,37
ITF5,ITL,Y24,68
ITF5,ITL,Y25,71
ITF5,TOTAL,Y_UN17,9
ITF5,TOTAL,Y18,16
ITF5,TOTAL,Y19,25
ITF5,TOTAL,Y20,27
ITF5,TOTAL,Y21,48
ITF5,TOTAL,Y22,34
ITF5,TOTAL,Y23,49
ITF5,TOTAL,Y24,88
ITF5,TOTAL,Y25,91
ITF6,FRG,Y_UN17,9
ITF6,FRG,Y18,22
ITF6,FRG,Y19,34
ITF6,FRG,Y20,34
ITF6,FRG,Y21,46
ITF6,FRG,Y22,34
ITF6,FRG,Y23,68
ITF6,FRG,Y24,63
ITF6,FRG,Y25,92
ITF6,ITL,Y_UN17,39
ITF6,ITL,Y18,46
ITF6,ITL,Y19,72
ITF6,ITL,Y20,97
ITF6,ITL,Y21,164
ITF6,ITL,Y22,198
ITF6,ITL,Y23,253
ITF6,ITL,Y24,323
ITF6,ITL,Y25,466
