Region code,Region,Age,Sex,Population
ITDA,Trentino-Alto Adige/Südtirol,23,Females,5623
ITDA,Trentino-Alto Adige/Südtirol,24,Total,11481
ITDA,Trentino-Alto Adige/Südtirol,24,Males,5860
ITDA,Trentino-Alto Adige/Südtirol,24,Females,5621
ITDA,Trentino-Alto Adige/Südtirol,25,Total,11950
ITDA,Trentino-Alto Adige/Südtirol,25,Males,6156
ITDA,Trentino-Alto Adige/Südtirol,25,Females,5794
ITD3,Veneto,15,Total,45685
ITD3,Veneto,15,Males,23625
ITD3,Veneto,15,Females,22060
ITD3,Veneto,16,Total,45397
ITD3,Veneto,16,Males,23458
ITD3,Veneto,16,Females,21939
ITD3,Veneto,17,Total,47220
ITD3,Veneto,17,Males,24382
ITD3,Veneto,17,Females,22838
ITD3,Veneto,18,Total,46375
ITD3,Veneto,18,Males,23807
ITD3,Veneto,18,Females,22568
ITD3,Veneto,19,Total,46981
ITD3,Veneto,19,Males,24530
ITD3,Veneto,19,Females,22451
ITD3,Veneto,20,Total,46973
ITD3,Veneto,20,Males,24463
ITD3,Veneto,20,Females,22510
ITD3,Veneto,21,Total,46461
ITD3,Veneto,21,Males,24277
ITD3,Veneto,21,Females,22184
ITD3,Veneto,22,Total,45644
ITD3,Veneto,22,Males,23949
ITD3,Veneto,22,Females,21695
ITD3,Veneto,23,Total,45896
ITD3,Veneto,23,Males,23753
ITD3,Veneto,23,Females,22143
ITD3,Veneto,24,Total,46400
ITD3,Veneto,24,Males,23622
ITD3,Veneto,24,Females,22778
ITD3,Veneto,25,Total,48250
ITD3,Veneto,25,Males,24759
ITD3,Veneto,25,Females,23491
ITD4,Friuli-Venezia Giulia,15,Total,10287
ITD4,Friuli-Venezia Giulia,15,Males,5285
ITD4,Friuli-Venezia Giulia,15,Females,5002
ITD4,Friuli-Venezia Giulia,16,Total,10424
ITD4,Friuli-Venezia Giulia,16,Males,5419
ITD4,Friuli-Venezia Giulia,16,Females,5005
ITD4,Friuli-Venezia Giulia,17,Total,10699
ITD4,Friuli-Venezia Giulia,17,Males,5502
ITD4,Friuli-Venezia Giulia,17,Females,5197
ITD4,Friuli-Venezia Giulia,18,Total,10321
ITD4,Friuli-Venezia Giulia,18,Males,5384
ITD4,Friuli-Venezia Giulia,18,Females,4937
ITD4,Friuli-Venezia Giulia,19,Total,10438
ITD4,Friuli-Venezia Giulia,19,Males,5491
ITD4,Friuli-Venezia Giulia,19,Females,4947
ITD4,Friuli-Venezia Giulia,20,Total,10292
ITD4,Friuli-Venezia Giulia,20,Males,5403
ITD4,Friuli-Venezia Giulia,20,Females,4889
ITD4,Friuli-Venezia Giulia,21,Total,10590
ITD4,Friuli-Venezia Giulia,21,Males,5585
ITD4,Friuli-Venezia Giulia,21,Females,5005
ITD4,Friuli-Venezia Giulia,22,Total,10238
ITD4,Friuli-Venezia Giulia,22,Males,5376
