ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC2,Valle d'Aosta / Vallée d'Aoste,26,651,587,1238
ITC2,Valle d'Aosta / Vallée d'Aoste,27,614,569,1183
ITC2,Valle d'Aosta / Vallée d'Aoste,28,624,647,1271
ITC2,Valle d'Aosta / Vallée d'Aoste,29,642,576,1218
ITC2,Valle d'Aosta / Vallée d'Aoste,30,649,626,1275
ITC2,Valle d'Aosta / Vallée d'Aoste,31,632,629,1261
ITC2,Valle d'Aosta / Vallée d'Aoste,32,607,646,1253
ITC2,Valle d'Aosta / Vallée d'Aoste,33,655,631,1286
ITC2,Valle d'Aosta / Vallée d'Aoste,34,657,654,1311
ITC2,Valle d'Aosta / Vallée d'Aoste,35,699,689,1388
ITC2,Valle d'Aosta / Vallée d'Aoste,36,674,723,1397
ITC2,Valle d'Aosta / Vallée d'Aoste,37,669,674,1343
ITC2,Valle d'Aosta / Vallée d'Aoste,38,761,680,1441
ITC2,Valle d'Aosta / Vallée d'Aoste,39,740,704,1444
ITC2,Valle d'Aosta / Vallée d'Aoste,40,872,829,1701
ITC2,Valle d'Aosta / Vallée d'Aoste,41,834,812,1646
ITC2,Valle d'Aosta / Vallée d'Aoste,42,854,921,1775
ITC2,Valle d'Aosta / Vallée d'Aoste,43,902,950,1852
ITC2,Valle d'Aosta / Vallée d'Aoste,44,996,965,1961
ITC2,Valle d'Aosta / Vallée d'Aoste,45,996,1009,2005
ITC2,Valle d'Aosta / Vallée d'Aoste,46,989,1035,2024
ITC2,Valle d'Aosta / Vallée d'Aoste,47,1029,1076,2105
ITC2,Valle d'Aosta / Vallée d'Aoste,48,1014,1050,2064
ITC2,Valle d'Aosta / Vallée d'Aoste,49,1080,1124,2204
ITC2,Valle d'Aosta / Vallée d'Aoste,50,1046,1081,2127
ITC2,Valle d'Aosta / Vallée d'Aoste,51,1070,1110,2180
ITC2,Valle d'Aosta / Vallée d'Aoste,52,1104,1104,2208
ITC2,Valle d'Aosta / Vallée d'Aoste,53,1071,1064,2135
ITC2,Valle d'Aosta / Vallée d'Aoste,54,1160,1121,2281
ITC2,Valle d'Aosta / Vallée d'Aoste,55,1069,1025,2094
ITC2,Valle d'Aosta / Vallée d'Aoste,56,941,989,1930
ITC2,Valle d'Aosta / Vallée d'Aoste,57,988,936,1924
ITC2,Valle d'Aosta / Vallée d'Aoste,58,853,905,1758
ITC2,Valle d'Aosta / Vallée d'Aoste,59,909,956,1865
ITC2,Valle d'Aosta / Vallée d'Aoste,60,826,856,1682
ITC2,Valle d'Aosta / Vallée d'Aoste,61,815,851,1666
ITC2,Valle d'Aosta / Vallée d'Aoste,62,805,806,1611
ITC2,Valle d'Aosta / Vallée d'Aoste,63,763,867,1630
ITC2,Valle d'Aosta / Vallée d'Aoste,64,777,830,1607
ITC2,Valle d'Aosta / Vallée d'Aoste,65,797,778,1575
ITC2,Valle d'Aosta / Vallée d'Aoste,66,751,750,1501
ITC2,Valle d'Aosta / Vallée d'Aoste,67,737,780,1517
ITC2,Valle d'Aosta / Vallée d'Aoste,68,745,771,1516
