RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITC1,FRG,Y_UN17,18
ITC1,FRG,Y18,20
ITC1,FRG,Y19,76
ITC1,FRG,Y20,122
ITC1,FRG,Y21,168
ITC1,FRG,Y22,206
ITC1,FRG,Y23,229
ITC1,FRG,Y24,311
ITC1,FRG,Y25,332
ITC1,ITL,Y_UN17,29
ITC1,ITL,Y18,42
ITC1,ITL,Y19,74
ITC1,ITL,Y20,119
ITC1,ITL,Y21,135
ITC1,ITL,Y22,218
ITC1,ITL,Y23,265
ITC1,ITL,Y24,347
ITC1,ITL,Y25,467
ITC1,TOTAL,Y_UN17,47
ITC1,TOTAL,Y18,62
ITC1,TOTAL,Y19,150
ITC1,TOTAL,Y20,241
ITC1,TOTAL,Y21,303
ITC1,TOTAL,Y22,424
ITC1,TOTAL,Y23,494
ITC1,TOTAL,Y24,658
ITC1,TOTAL,Y25,799
ITC2,FRG,Y_UN17,0
ITC2,FRG,Y18,1
ITC2,FRG,Y19,2
ITC2,FRG,Y20,1
ITC2,FRG,Y21,1
ITC2,FRG,Y22,8
ITC2,FRG,Y23,6
ITC2,FRG,Y24,5
ITC2,FRG,Y25,5
ITC2,ITL,Y_UN17,0
ITC2,ITL,Y18,0
ITC2,ITL,Y19,4
ITC2,ITL,Y20,1
ITC2,ITL,Y21,5
ITC2,ITL,Y22,5
ITC2,ITL,Y23,13
ITC2,ITL,Y24,16
ITC2,ITL,Y25,21
ITC2,TOTAL,Y_UN17,0
ITC2,TOTAL,Y18,1
ITC2,TOTAL,Y19,6
ITC2,TOTAL,Y20,2
ITC2,TOTAL,Y21,6
ITC2,TOTAL,Y22,13
ITC2,TOTAL,Y23,19
ITC2,TOTAL,Y24,21
ITC2,TOTAL,Y25,26
ITC3,FRG,Y_UN17,5
ITC3,FRG,Y18,15
ITC3,FRG,Y19,32
ITC3,FRG,Y20,56
ITC3,FRG,Y21,69
ITC3,FRG,Y22,82
ITC3,FRG,Y23,104
ITC3,FRG,Y24,109
ITC3,FRG,Y25,145
ITC3,ITL,Y_UN17,6
ITC3,ITL,Y18,22
ITC3,ITL,Y19,14
ITC3,ITL,Y20,22
ITC3,ITL,Y21,39
