ITTER107,Region,Age,Males,Females,Population
ITE3,Marche,22,7587,6826,14413
ITE3,Marche,23,7510,6763,14273
ITE3,Marche,24,7561,6867,14428
ITE3,Marche,25,7436,6872,14308
ITE3,Marche,Total,81140,73958,155098
ITE4,Lazio,15,27681,26000,53681
ITE4,Lazio,16,27280,25891,53171
ITE4,Lazio,17,27007,25264,52271
ITE4,Lazio,18,27298,25435,52733
ITE4,Lazio,19,28048,25741,53789
ITE4,Lazio,20,27906,25341,53247
ITE4,Lazio,21,28682,25641,54323
ITE4,Lazio,22,28497,25708,54205
ITE4,Lazio,23,28798,25964,54762
ITE4,Lazio,24,29169,26174,55343
ITE4,Lazio,25,29051,26776,55827
ITE4,Lazio,Total,309417,283935,593352
ITF1,Abruzzo,15,6035,5559,11594
ITF1,Abruzzo,16,5970,5543,11513
ITF1,Abruzzo,17,5930,5456,11386
ITF1,Abruzzo,18,6090,5703,11793
ITF1,Abruzzo,19,6412,5647,12059
ITF1,Abruzzo,20,6309,5716,12025
ITF1,Abruzzo,21,6476,5943,12419
ITF1,Abruzzo,22,6542,5819,12361
ITF1,Abruzzo,23,6481,6119,12600
ITF1,Abruzzo,24,6548,5931,12479
ITF1,Abruzzo,25,6683,6309,12992
ITF1,Abruzzo,Total,69476,63745,133221
ITF2,Molise,15,1371,1195,2566
ITF2,Molise,16,1358,1245,2603
ITF2,Molise,17,1351,1321,2672
ITF2,Molise,18,1426,1314,2740
ITF2,Molise,19,1484,1383,2867
ITF2,Molise,20,1588,1377,2965
ITF2,Molise,21,1722,1420,3142
ITF2,Molise,22,1666,1410,3076
ITF2,Molise,23,1601,1476,3077
ITF2,Molise,24,1630,1510,3140
ITF2,Molise,25,1735,1505,3240
ITF2,Molise,Total,16932,15156,32088
ITF3,Campania,15,32881,30912,63793
ITF3,Campania,16,32944,31576,64520
ITF3,Campania,17,32907,31204,64111
ITF3,Campania,18,34083,31736,65819
ITF3,Campania,19,34789,32455,67244
ITF3,Campania,20,35099,32426,67525
ITF3,Campania,21,35426,32326,67752
ITF3,Campania,22,35245,32389,67634
ITF3,Campania,23,35249,32905,68154
ITF3,Campania,24,34679,33423,68102
ITF3,Campania,25,35176,33582,68758
ITF3,Campania,Total,378478,354934,733412
ITF4,Puglia,15,20477,19790,40267
ITF4,Puglia,16,20733,19865,40598
ITF4,Puglia,17,20852,19919,40771
ITF4,Puglia,18,21746,20299,42045
ITF4,Puglia,19,22251,20876,43127
ITF4,Puglia,20,22662,20478,43140
ITF4,Puglia,21,22593,20560,43153
ITF4,Puglia,22,22436,20589,43025
ITF4,Puglia,23,22357,20879,43236
ITF4,Puglia,24,22303,20761,43064
ITF4,Puglia,25,22352,20914,43266
ITF4,Puglia,Total,240762,224930,465692
ITF5,Basilicata,15,2618,2628,5246
ITF5,Basilicata,16,2774,2515,5289
ITF5,Basilicata,17,2834,2632,5466
ITF5,Basilicata,18,2917,2612,5529
ITF5,Basilicata,19,3073,2675,5748
ITF5,Basilicata,20,3036,2739,5775
ITF5,Basilicata,21,3105,2670,5775
ITF5,Basilicata,22,3065,2727,5792
ITF5,Basilicata,23,3101,2764,5865
ITF5,Basilicata,24,3131,2802,5933
ITF5,Basilicata,25,3126,2937,6063
ITF5,Basilicata,Total,32780,29701,62481
ITF6,Calabria,15,9660,9005,18665
ITF6,Calabria,16,9666,9034,18700
ITF6,Calabria,17,9662,8911,18573
ITF6,Calabria,18,9990,9413,19403
ITF6,Calabria,19,10465,9602,20067
ITF6,Calabria,20,10549,9502,20051
ITF6,Calabria,21,10677,9766,20443
ITF6,Calabria,22,10414,9621,20035
ITF6,Calabria,23,10753,9780,20533
ITF6,Calabria,24,10722,10162,20884
ITF6,Calabria,25,11050,10278,21328
ITF6,Calabria,Total,113608,105074,218682
ITG1,Sicilia,15,26092,24534,50626
ITG1,Sicilia,16,25985,24631,50616
ITG1,Sicilia,17,26176,24719,50895
