RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITC1,FRG,Y_UN17,31
ITC1,FRG,Y18,28
ITC1,FRG,Y19,86
ITC1,FRG,Y20,138
ITC1,FRG,Y21,192
ITC1,FRG,Y22,257
ITC1,FRG,Y23,282
ITC1,FRG,Y24,357
ITC1,FRG,Y25,447
ITC1,ITL,Y_UN17,33
ITC1,ITL,Y18,39
ITC1,ITL,Y19,94
ITC1,ITL,Y20,134
ITC1,ITL,Y21,158
ITC1,ITL,Y22,212
ITC1,ITL,Y23,289
ITC1,ITL,Y24,394
ITC1,ITL,Y25,565
ITC1,TOTAL,Y_UN17,64
ITC1,TOTAL,Y18,67
ITC1,TOTAL,Y19,180
ITC1,TOTAL,Y20,272
ITC1,TOTAL,Y21,350
ITC1,TOTAL,Y22,469
ITC1,TOTAL,Y23,571
ITC1,TOTAL,Y24,751
ITC1,TOTAL,Y25,1012
ITC2,FRG,Y_UN17,0
ITC2,FRG,Y18,0
ITC2,FRG,Y19,3
ITC2,FRG,Y20,3
ITC2,FRG,Y21,4
ITC2,FRG,Y22,5
ITC2,FRG,Y23,4
ITC2,FRG,Y24,2
ITC2,FRG,Y25,12
ITC2,ITL,Y_UN17,0
ITC2,ITL,Y18,2
ITC2,ITL,Y19,1
ITC2,ITL,Y20,1
ITC2,ITL,Y21,10
ITC2,ITL,Y22,10
ITC2,ITL,Y23,15
ITC2,ITL,Y24,11
ITC2,ITL,Y25,20
ITC2,TOTAL,Y_UN17,0
ITC2,TOTAL,Y18,2
ITC2,TOTAL,Y19,4
ITC2,TOTAL,Y20,4
ITC2,TOTAL,Y21,14
ITC2,TOTAL,Y22,15
ITC2,TOTAL,Y23,19
ITC2,TOTAL,Y24,13
ITC2,TOTAL,Y25,32
ITC3,FRG,Y_UN17,11
ITC3,FRG,Y18,18
ITC3,FRG,Y19,55
ITC3,FRG,Y20,61
ITC3,FRG,Y21,74
ITC3,FRG,Y22,60
ITC3,FRG,Y23,112
ITC3,FRG,Y24,114
ITC3,FRG,Y25,167
ITC3,ITL,Y_UN17,13
ITC3,ITL,Y18,12
ITC3,ITL,Y19,21
ITC3,ITL,Y20,33
ITC3,ITL,Y21,50
ITC3,ITL,Y22,64
ITC3,ITL,Y23,80
ITC3,ITL,Y24,119
ITC3,ITL,Y25,157
ITC3,TOTAL,Y_UN17,24
ITC3,TOTAL,Y18,30
ITC3,TOTAL,Y19,76
ITC3,TOTAL,Y20,94
ITC3,TOTAL,Y21,124
ITC3,TOTAL,Y22,124
ITC3,TOTAL,Y23,192
ITC3,TOTAL,Y24,233
ITC3,TOTAL,Y25,324
ITC4,FRG,Y_UN17,50
ITC4,FRG,Y18,89
ITC4,FRG,Y19,227
ITC4,FRG,Y20,362
ITC4,FRG,Y21,534
ITC4,FRG,Y22,650
ITC4,FRG,Y23,882
ITC4,FRG,Y24,986
ITC4,FRG,Y25,1132
ITC4,ITL,Y_UN17,95
ITC4,ITL,Y18,119
ITC4,ITL,Y19,177
ITC4,ITL,Y20,293
ITC4,ITL,Y21,373
ITC4,ITL,Y22,483
ITC4,ITL,Y23,614
ITC4,ITL,Y24,800
ITC4,ITL,Y25,1078
ITC4,TOTAL,Y_UN17,145
ITC4,TOTAL,Y18,208
ITC4,TOTAL,Y19,404
ITC4,TOTAL,Y20,655
ITC4,TOTAL,Y21,907
ITC4,TOTAL,Y22,1133
ITC4,TOTAL,Y23,1496
ITC4,TOTAL,Y24,1786
ITC4,TOTAL,Y25,2210
ITD1,FRG,Y_UN17,3
ITD1,FRG,Y18,0
ITD1,FRG,Y19,5
ITD1,FRG,Y20,11
ITD1,FRG,Y21,29
ITD1,FRG,Y22,33
ITD1,FRG,Y23,57
ITD1,FRG,Y24,65
ITD1,FRG,Y25,52
ITD1,ITL,Y_UN17,6
ITD1,ITL,Y18,13
ITD1,ITL,Y19,25
ITD1,ITL,Y20,20
ITD1,ITL,Y21,31
ITD1,ITL,Y22,46
ITD1,ITL,Y23,55
ITD1,ITL,Y24,104
ITD1,ITL,Y25,122
ITD1,TOTAL,Y_UN17,9
ITD1,TOTAL,Y18,13
ITD1,TOTAL,Y19,30
ITD1,TOTAL,Y20,31
ITD1,TOTAL,Y21,60
ITD1,TOTAL,Y22,79
ITD1,TOTAL,Y23,112
ITD1,TOTAL,Y24,169
ITD1,TOTAL,Y25,174
ITD2,FRG,Y_UN17,2
ITD2,FRG,Y18,3
ITD2,FRG,Y19,8
ITD2,FRG,Y20,20
ITD2,FRG,Y21,34
ITD2,FRG,Y22,29
ITD2,FRG,Y23,35
ITD2,FRG,Y24,43
ITD2,FRG,Y25,57
ITD2,ITL,Y_UN17,4
ITD2,ITL,Y18,6
ITD2,ITL,Y19,14
ITD2,ITL,Y20,20
ITD2,ITL,Y21,22
ITD2,ITL,Y22,35
ITD2,ITL,Y23,48
ITD2,ITL,Y24,62
ITD2,ITL,Y25,71
ITD2,TOTAL,Y_UN17,6
ITD2,TOTAL,Y18,9
ITD2,TOTAL,Y19,22
ITD2,TOTAL,Y20,40
ITD2,TOTAL,Y21,56
ITD2,TOTAL,Y22,64
