ITTER107,Region,Age,Total males,Total females,Total
ITE3,Marche,22,28734,25787,54521
ITE3,Marche,23,29160,25976,55136
ITE3,Marche,24,29084,26641,55725
ITE3,Marche,25,29318,27491,56809
ITE3,Marche,Total,310025,284356,594381
ITE4,Lazio,15,27242,25862,53104
ITE4,Lazio,16,26916,25214,52130
ITE4,Lazio,17,27055,25381,52436
ITE4,Lazio,18,27767,25627,53394
ITE4,Lazio,19,27711,25223,52934
ITE4,Lazio,20,28596,25563,54159
ITE4,Lazio,21,28442,25591,54033
ITE4,Lazio,22,28734,25787,54521
ITE4,Lazio,23,29160,25976,55136
ITE4,Lazio,24,29084,26641,55725
ITE4,Lazio,25,29318,27491,56809
ITE4,Lazio,Total,310025,284356,594381
ITF1,Abruzzo,15,5949,5523,11472
ITF1,Abruzzo,16,5895,5441,11336
ITF1,Abruzzo,17,6029,5689,11718
ITF1,Abruzzo,18,6361,5626,11987
ITF1,Abruzzo,19,6340,5725,12065
ITF1,Abruzzo,20,6489,5910,12399
ITF1,Abruzzo,21,6556,5818,12374
ITF1,Abruzzo,22,6519,6084,12603
ITF1,Abruzzo,23,6620,5963,12583
ITF1,Abruzzo,24,6758,6324,13082
ITF1,Abruzzo,25,7056,6489,13545
ITF1,Abruzzo,Total,70572,64592,135164
ITF2,Molise,15,1349,1247,2596
ITF2,Molise,16,1348,1314,2662
ITF2,Molise,17,1402,1313,2715
ITF2,Molise,18,1509,1384,2893
ITF2,Molise,19,1624,1383,3007
ITF2,Molise,20,1827,1418,3245
ITF2,Molise,21,1743,1407,3150
ITF2,Molise,22,1662,1494,3156
ITF2,Molise,23,1686,1532,3218
ITF2,Molise,24,1777,1526,3303
ITF2,Molise,25,1789,1602,3391
ITF2,Molise,Total,17716,15620,33336
ITF3,Campania,15,32955,31567,64522
ITF3,Campania,16,32839,31177,64016
ITF3,Campania,17,33940,31676,65616
ITF3,Campania,18,34759,32413,67172
ITF3,Campania,19,35328,32463,67791
ITF3,Campania,20,35925,32437,68362
ITF3,Campania,21,35710,32548,68258
ITF3,Campania,22,35833,33120,68953
ITF3,Campania,23,35363,33727,69090
ITF3,Campania,24,35999,34007,70006
ITF3,Campania,25,36380,34910,71290
ITF3,Campania,Total,385031,360045,745076
ITF4,Puglia,15,20737,19853,40590
ITF4,Puglia,16,20811,19957,40768
ITF4,Puglia,17,21634,20296,41930
ITF4,Puglia,18,22221,20896,43117
ITF4,Puglia,19,22713,20546,43259
ITF4,Puglia,20,22780,20659,43439
ITF4,Puglia,21,22657,20721,43378
ITF4,Puglia,22,22643,20975,43618
ITF4,Puglia,23,22643,20961,43604
ITF4,Puglia,24,22789,21229,44018
ITF4,Puglia,25,23380,21902,45282
ITF4,Puglia,Total,245008,227995,473003
ITF5,Basilicata,15,2776,2517,5293
ITF5,Basilicata,16,2812,2633,5445
ITF5,Basilicata,17,2897,2598,5495
ITF5,Basilicata,18,3084,2684,5768
ITF5,Basilicata,19,3066,2759,5825
ITF5,Basilicata,20,3153,2672,5825
ITF5,Basilicata,21,3105,2749,5854
ITF5,Basilicata,22,3119,2775,5894
ITF5,Basilicata,23,3142,2848,5990
ITF5,Basilicata,24,3180,2961,6141
ITF5,Basilicata,25,3315,2995,6310
ITF5,Basilicata,Total,33649,30191,63840
ITF6,Calabria,15,9679,9064,18743
ITF6,Calabria,16,9651,8921,18572
ITF6,Calabria,17,9941,9400,19341
ITF6,Calabria,18,10621,9598,20219
ITF6,Calabria,19,10782,9538,20320
ITF6,Calabria,20,10838,9846,20684
ITF6,Calabria,21,10636,9690,20326
ITF6,Calabria,22,11016,9921,20937
ITF6,Calabria,23,11012,10295,21307
ITF6,Calabria,24,11427,10437,21864
ITF6,Calabria,25,11766,11015,22781
ITF6,Calabria,Total,117369,107725,225094
ITG1,Sicilia,15,25978,24659,50637
ITG1,Sicilia,16,26126,24706,50832
ITG1,Sicilia,17,27179,25053,52232
ITG1,Sicilia,18,28801,25330,54131
ITG1,Sicilia,19,29211,26106,55317
ITG1,Sicilia,20,28454,25805,54259
ITG1,Sicilia,21,28345,25966,54311
ITG1,Sicilia,22,28323,26396,54719
ITG1,Sicilia,23,28466,26777,55243
ITG1,Sicilia,24,29205,27425,56630
ITG1,Sicilia,25,29881,28612,58493
ITG1,Sicilia,Total,309969,286835,596804
ITG2,Sardegna,15,7124,6635,13759
ITG2,Sardegna,16,6936,6593,13529
ITG2,Sardegna,17,7129,6739,13868
ITG2,Sardegna,18,7588,6848,14436
ITG2,Sardegna,19,7835,6691,14526
ITG2,Sardegna,20,7659,6554,14213
ITG2,Sardegna,21,7670,6678,14348
ITG2,Sardegna,22,7837,6759,14596
ITG2,Sardegna,23,8015,6955,14970
ITG2,Sardegna,24,8028,7182,15210
ITG2,Sardegna,25,8112,7563,15675
ITG2,Sardegna,Total,83933,75197,159130
