ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC2,Valle d'Aosta / Vallée d'Aoste,26,586,550,1136
ITC2,Valle d'Aosta / Vallée d'Aoste,27,650,583,1233
ITC2,Valle d'Aosta / Vallée d'Aoste,28,619,577,1196
ITC2,Valle d'Aosta / Vallée d'Aoste,29,625,643,1268
ITC2,Valle d'Aosta / Vallée d'Aoste,30,660,578,1238
ITC2,Valle d'Aosta / Vallée d'Aoste,31,651,630,1281
ITC2,Valle d'Aosta / Vallée d'Aoste,32,615,626,1241
ITC2,Valle d'Aosta / Vallée d'Aoste,33,605,639,1244
ITC2,Valle d'Aosta / Vallée d'Aoste,34,657,642,1299
ITC2,Valle d'Aosta / Vallée d'Aoste,35,664,646,1310
ITC2,Valle d'Aosta / Vallée d'Aoste,36,702,681,1383
ITC2,Valle d'Aosta / Vallée d'Aoste,37,679,730,1409
ITC2,Valle d'Aosta / Vallée d'Aoste,38,657,672,1329
ITC2,Valle d'Aosta / Vallée d'Aoste,39,758,682,1440
ITC2,Valle d'Aosta / Vallée d'Aoste,40,723,701,1424
ITC2,Valle d'Aosta / Vallée d'Aoste,41,881,827,1708
ITC2,Valle d'Aosta / Vallée d'Aoste,42,838,821,1659
ITC2,Valle d'Aosta / Vallée d'Aoste,43,862,920,1782
ITC2,Valle d'Aosta / Vallée d'Aoste,44,890,951,1841
ITC2,Valle d'Aosta / Vallée d'Aoste,45,985,970,1955
ITC2,Valle d'Aosta / Vallée d'Aoste,46,997,1006,2003
ITC2,Valle d'Aosta / Vallée d'Aoste,47,984,1033,2017
ITC2,Valle d'Aosta / Vallée d'Aoste,48,1022,1080,2102
ITC2,Valle d'Aosta / Vallée d'Aoste,49,1014,1050,2064
ITC2,Valle d'Aosta / Vallée d'Aoste,50,1078,1123,2201
ITC2,Valle d'Aosta / Vallée d'Aoste,51,1035,1077,2112
ITC2,Valle d'Aosta / Vallée d'Aoste,52,1064,1111,2175
ITC2,Valle d'Aosta / Vallée d'Aoste,53,1103,1100,2203
ITC2,Valle d'Aosta / Vallée d'Aoste,54,1055,1058,2113
ITC2,Valle d'Aosta / Vallée d'Aoste,55,1146,1116,2262
ITC2,Valle d'Aosta / Vallée d'Aoste,56,1060,1018,2078
ITC2,Valle d'Aosta / Vallée d'Aoste,57,929,983,1912
ITC2,Valle d'Aosta / Vallée d'Aoste,58,1000,940,1940
ITC2,Valle d'Aosta / Vallée d'Aoste,59,846,915,1761
ITC2,Valle d'Aosta / Vallée d'Aoste,60,905,952,1857
ITC2,Valle d'Aosta / Vallée d'Aoste,61,817,849,1666
ITC2,Valle d'Aosta / Vallée d'Aoste,62,813,848,1661
ITC2,Valle d'Aosta / Vallée d'Aoste,63,799,799,1598
ITC2,Valle d'Aosta / Vallée d'Aoste,64,754,868,1622
ITC2,Valle d'Aosta / Vallée d'Aoste,65,765,827,1592
ITC2,Valle d'Aosta / Vallée d'Aoste,66,792,768,1560
ITC2,Valle d'Aosta / Vallée d'Aoste,67,744,749,1493
ITC2,Valle d'Aosta / Vallée d'Aoste,68,737,773,1510
